"fdc_id","food_code","wweia_category_number","start_date","end_date"
"2705458","11461220","5802","2021-01-01","2023-12-31"
"2705459","11461250","5802","2021-01-01","2023-12-31"
"2705460","11461260","5802","2021-01-01","2023-12-31"
"2705461","11461300","5802","2021-01-01","2023-12-31"
"2705462","11461320","5802","2021-01-01","2023-12-31"
"2705463","11480000","9007","2021-01-01","2023-12-31"
"2705464","11480010","9010","2021-01-01","2023-12-31"
"2705465","11480100","9010","2021-01-01","2023-12-31"
"2705466","11511000","1206","2021-01-01","2023-12-31"
"2705467","11511100","1202","2021-01-01","2023-12-31"
"2705468","11511200","1204","2021-01-01","2023-12-31"
"2705469","11511300","1208","2021-01-01","2023-12-31"
"2705470","11511400","1206","2021-01-01","2023-12-31"
"2705471","11511550","1206","2021-01-01","2023-12-31"
"2705472","11512005","1206","2021-01-01","2023-12-31"
"2705473","11512010","1204","2021-01-01","2023-12-31"
"2705474","11512020","1208","2021-01-01","2023-12-31"
"2705475","11512030","1902","2021-01-01","2023-12-31"
"2705476","11512100","1204","2021-01-01","2023-12-31"
"2705477","11513380","1204","2021-01-01","2023-12-31"
"2705478","11513385","1902","2021-01-01","2023-12-31"
"2705479","11513801","1202","2021-01-01","2023-12-31"
"2705480","11513802","1204","2021-01-01","2023-12-31"
"2705481","11513803","1206","2021-01-01","2023-12-31"
"2705482","11513804","1208","2021-01-01","2023-12-31"
"2705483","11514100","1208","2021-01-01","2023-12-31"
"2705484","11514110","1204","2021-01-01","2023-12-31"
"2705485","11514130","1208","2021-01-01","2023-12-31"
"2705486","11514150","1902","2021-01-01","2023-12-31"
"2705487","11514160","1204","2021-01-01","2023-12-31"
"2705488","11514310","1208","2021-01-01","2023-12-31"
"2705489","11514320","1204","2021-01-01","2023-12-31"
"2705490","11514325","1902","2021-01-01","2023-12-31"
"2705491","11514330","1204","2021-01-01","2023-12-31"
"2705492","11514340","1208","2021-01-01","2023-12-31"
"2705493","11514350","1208","2021-01-01","2023-12-31"
"2705494","11514360","1902","2021-01-01","2023-12-31"
"2705495","11519040","1204","2021-01-01","2023-12-31"
"2705496","11519050","1202","2021-01-01","2023-12-31"
"2705497","11519105","1204","2021-01-01","2023-12-31"
"2705498","11519200","1206","2021-01-01","2023-12-31"
"2705499","11519205","1208","2021-01-01","2023-12-31"
"2705500","11519210","1206","2021-01-01","2023-12-31"
"2705501","11526000","1204","2021-01-01","2023-12-31"
"2705502","11531000","1402","2021-01-01","2023-12-31"
"2705503","11541110","1402","2021-01-01","2023-12-31"
"2705504","11541120","1402","2021-01-01","2023-12-31"
"2705505","11541130","1402","2021-01-01","2023-12-31"
"2705506","11541135","1402","2021-01-01","2023-12-31"
"2705507","11541400","1402","2021-01-01","2023-12-31"
"2705508","11542100","1402","2021-01-01","2023-12-31"
"2705509","11542200","1402","2021-01-01","2023-12-31"
"2705510","11543000","1402","2021-01-01","2023-12-31"
"2705511","11543010","1402","2021-01-01","2023-12-31"
"2705512","11551050","7220","2021-01-01","2023-12-31"
"2705513","11553100","7220","2021-01-01","2023-12-31"
"2705514","11553110","7220","2021-01-01","2023-12-31"
"2705515","11553120","7220","2021-01-01","2023-12-31"
"2705516","11553130","7220","2021-01-01","2023-12-31"
"2705517","11560000","1402","2021-01-01","2023-12-31"
"2705518","11710000","9404","2021-01-01","2023-12-31"
"2705519","11710030","9404","2021-01-01","2023-12-31"
"2705520","11710051","9402","2021-01-01","2023-12-31"
"2705521","11710056","9404","2021-01-01","2023-12-31"
"2705522","11710351","9402","2021-01-01","2023-12-31"
"2705523","11710357","9404","2021-01-01","2023-12-31"
"2705524","11710358","9404","2021-01-01","2023-12-31"
"2705525","11710359","9404","2021-01-01","2023-12-31"
"2705526","11710371","9402","2021-01-01","2023-12-31"
"2705527","11710377","9404","2021-01-01","2023-12-31"
"2705528","11710378","9404","2021-01-01","2023-12-31"
"2705529","11710379","9404","2021-01-01","2023-12-31"
"2705530","11710381","9402","2021-01-01","2023-12-31"
"2705531","11710383","9404","2021-01-01","2023-12-31"
"2705532","11710481","9404","2021-01-01","2023-12-31"
"2705533","11710605","9404","2021-01-01","2023-12-31"
"2705534","11710631","9402","2021-01-01","2023-12-31"
"2705535","11710637","9404","2021-01-01","2023-12-31"
"2705536","11710638","9404","2021-01-01","2023-12-31"
"2705537","11710639","9404","2021-01-01","2023-12-31"
"2705538","11710661","9402","2021-01-01","2023-12-31"
"2705539","11710669","9404","2021-01-01","2023-12-31"
"2705540","11710671","9402","2021-01-01","2023-12-31"
"2705541","11710677","9404","2021-01-01","2023-12-31"
"2705542","11710678","9404","2021-01-01","2023-12-31"
"2705543","11710679","9404","2021-01-01","2023-12-31"
"2705544","11710689","9404","2021-01-01","2023-12-31"
"2705545","11710801","9402","2021-01-01","2023-12-31"
"2705546","11710807","9404","2021-01-01","2023-12-31"
"2705547","11710810","9404","2021-01-01","2023-12-31"
"2705548","11710815","9404","2021-01-01","2023-12-31"
"2705549","11710905","9404","2021-01-01","2023-12-31"
"2705550","11710911","9402","2021-01-01","2023-12-31"
"2705551","11710917","9404","2021-01-01","2023-12-31"
"2705552","11710918","9404","2021-01-01","2023-12-31"
"2705553","11710919","9404","2021-01-01","2023-12-31"
"2705554","11710921","9404","2021-01-01","2023-12-31"
"2705555","11710930","9404","2021-01-01","2023-12-31"
"2705556","11710935","9404","2021-01-01","2023-12-31"
"2705557","11710945","9402","2021-01-01","2023-12-31"
"2705558","11710954","9404","2021-01-01","2023-12-31"
"2705559","11710955","9402","2021-01-01","2023-12-31"
"2705560","11710967","9404","2021-01-01","2023-12-31"
"2705561","11710968","9404","2021-01-01","2023-12-31"
"2705562","11710969","9404","2021-01-01","2023-12-31"
"2705563","11710970","9404","2021-01-01","2023-12-31"
"2705564","11710980","9404","2021-01-01","2023-12-31"
"2705565","11720311","9402","2021-01-01","2023-12-31"
"2705566","11720317","9404","2021-01-01","2023-12-31"
"2705567","11720318","9404","2021-01-01","2023-12-31"
"2705568","11720319","9404","2021-01-01","2023-12-31"
"2705569","11720411","9402","2021-01-01","2023-12-31"
"2705570","11720417","9404","2021-01-01","2023-12-31"
"2705571","11720418","9404","2021-01-01","2023-12-31"
"2705572","11720419","9404","2021-01-01","2023-12-31"
"2705573","11720430","9402","2021-01-01","2023-12-31"
"2705574","11720611","9402","2021-01-01","2023-12-31"
"2705575","11720617","9404","2021-01-01","2023-12-31"
"2705576","11720618","9404","2021-01-01","2023-12-31"
"2705577","11720619","9404","2021-01-01","2023-12-31"
"2705578","11720809","9404","2021-01-01","2023-12-31"
"2705579","11740311","9402","2021-01-01","2023-12-31"
"2705580","11740313","9404","2021-01-01","2023-12-31"
"2705581","11740401","9402","2021-01-01","2023-12-31"
"2705582","11740403","9404","2021-01-01","2023-12-31"
"2705583","11740405","9404","2021-01-01","2023-12-31"
"2705584","11740560","9404","2021-01-01","2023-12-31"
"2705585","11810000","9999","2021-01-01","2023-12-31"
"2705586","11825000","9999","2021-01-01","2023-12-31"
"2705587","11830150","9999","2021-01-01","2023-12-31"
"2705588","11830160","9999","2021-01-01","2023-12-31"
"2705589","11830165","9999","2021-01-01","2023-12-31"
"2705590","11830260","9999","2021-01-01","2023-12-31"
"2705591","11830400","9999","2021-01-01","2023-12-31"
"2705592","12100100","8008","2021-01-01","2023-12-31"
"2705593","12110100","8008","2021-01-01","2023-12-31"
"2705594","12120100","8008","2021-01-01","2023-12-31"
"2705595","12120106","8008","2021-01-01","2023-12-31"
"2705596","12120110","8008","2021-01-01","2023-12-31"
"2705597","12130100","8008","2021-01-01","2023-12-31"
"2705598","12140000","8006","2021-01-01","2023-12-31"
"2705599","12200100","8008","2021-01-01","2023-12-31"
"2705600","12210200","8008","2021-01-01","2023-12-31"
"2705601","12210210","8008","2021-01-01","2023-12-31"
"2705602","12210260","8008","2021-01-01","2023-12-31"
"2705603","12210270","8008","2021-01-01","2023-12-31"
"2705604","12210280","8008","2021-01-01","2023-12-31"
"2705605","12210310","8008","2021-01-01","2023-12-31"
"2705606","12210400","8008","2021-01-01","2023-12-31"
"2705607","12210420","8008","2021-01-01","2023-12-31"
"2705608","12210430","8008","2021-01-01","2023-12-31"
"2705609","12210505","8008","2021-01-01","2023-12-31"
"2705610","12210520","8008","2021-01-01","2023-12-31"
"2705611","12220200","8006","2021-01-01","2023-12-31"
"2705612","12220270","8006","2021-01-01","2023-12-31"
"2705613","12220280","8006","2021-01-01","2023-12-31"
"2705614","12310100","8006","2021-01-01","2023-12-31"
"2705615","12310350","8006","2021-01-01","2023-12-31"
"2705616","12310370","8006","2021-01-01","2023-12-31"
"2705617","12320100","8006","2021-01-01","2023-12-31"
"2705618","12350010","8412","2021-01-01","2023-12-31"
"2705619","12350200","8412","2021-01-01","2023-12-31"
"2705620","12350205","8412","2021-01-01","2023-12-31"
"2705621","12350220","8412","2021-01-01","2023-12-31"
"2705622","12350225","8412","2021-01-01","2023-12-31"
"2705623","12350230","8412","2021-01-01","2023-12-31"
"2705624","12350235","8412","2021-01-01","2023-12-31"
"2705625","12350240","8412","2021-01-01","2023-12-31"
"2705626","12350245","8412","2021-01-01","2023-12-31"
"2705627","12350250","8412","2021-01-01","2023-12-31"
"2705628","12350255","8412","2021-01-01","2023-12-31"
"2705629","13110000","5802","2021-01-01","2023-12-31"
"2705630","13110100","5802","2021-01-01","2023-12-31"
"2705631","13110102","5802","2021-01-01","2023-12-31"
"2705632","13110110","5802","2021-01-01","2023-12-31"
"2705633","13110112","5802","2021-01-01","2023-12-31"
"2705634","13110200","5802","2021-01-01","2023-12-31"
"2705635","13110210","5802","2021-01-01","2023-12-31"
"2705636","13110460","5802","2021-01-01","2023-12-31"
"2705637","13110470","5802","2021-01-01","2023-12-31"
"2705638","13120050","5802","2021-01-01","2023-12-31"
"2705639","13120100","5802","2021-01-01","2023-12-31"
"2705640","13120110","5802","2021-01-01","2023-12-31"
"2705641","13120140","5802","2021-01-01","2023-12-31"
"2705642","13120500","5802","2021-01-01","2023-12-31"
"2705643","13120510","5802","2021-01-01","2023-12-31"
"2705644","13120550","5802","2021-01-01","2023-12-31"
"2705645","13120730","5802","2021-01-01","2023-12-31"
"2705646","13120735","5802","2021-01-01","2023-12-31"
"2705647","13120740","5802","2021-01-01","2023-12-31"
"2705648","13120770","5802","2021-01-01","2023-12-31"
"2705649","13120775","5802","2021-01-01","2023-12-31"
"2705650","13120782","5802","2021-01-01","2023-12-31"
"2705651","13120784","5802","2021-01-01","2023-12-31"
"2705652","13120786","5802","2021-01-01","2023-12-31"
"2705653","13120788","5802","2021-01-01","2023-12-31"
"2705654","13120790","5802","2021-01-01","2023-12-31"
"2705655","13120792","5802","2021-01-01","2023-12-31"
"2705656","13120800","1402","2021-01-01","2023-12-31"
"2705657","13120810","1402","2021-01-01","2023-12-31"
"2705658","13121000","5802","2021-01-01","2023-12-31"
"2705659","13121100","5802","2021-01-01","2023-12-31"
"2705660","13121120","5802","2021-01-01","2023-12-31"
"2705661","13121300","5802","2021-01-01","2023-12-31"
"2705662","13121400","5802","2021-01-01","2023-12-31"
"2705663","13126000","5802","2021-01-01","2023-12-31"
"2705664","13130100","5802","2021-01-01","2023-12-31"
"2705665","13130300","5802","2021-01-01","2023-12-31"
"2705666","13130310","5802","2021-01-01","2023-12-31"
"2705667","13130700","5802","2021-01-01","2023-12-31"
"2705668","13135000","5802","2021-01-01","2023-12-31"
"2705669","13135010","5802","2021-01-01","2023-12-31"
"2705670","13140000","5802","2021-01-01","2023-12-31"
"2705671","13140100","5802","2021-01-01","2023-12-31"
"2705672","13140115","5802","2021-01-01","2023-12-31"
"2705673","13140700","5802","2021-01-01","2023-12-31"
"2705674","13140900","5802","2021-01-01","2023-12-31"
"2705675","13142100","5802","2021-01-01","2023-12-31"
"2705676","13142110","5802","2021-01-01","2023-12-31"
"2705677","13150000","5802","2021-01-01","2023-12-31"
"2705678","13161600","5802","2021-01-01","2023-12-31"
"2705679","13200110","5804","2021-01-01","2023-12-31"
"2705680","13210110","5804","2021-01-01","2023-12-31"
"2705681","13210280","5804","2021-01-01","2023-12-31"
"2705682","13210300","5804","2021-01-01","2023-12-31"
"2705683","13210350","5804","2021-01-01","2023-12-31"
"2705684","13210370","5804","2021-01-01","2023-12-31"
"2705685","13210410","5804","2021-01-01","2023-12-31"
"2705686","13210450","5804","2021-01-01","2023-12-31"
"2705687","13210520","5804","2021-01-01","2023-12-31"
"2705688","13220110","5804","2021-01-01","2023-12-31"
"2705689","13220120","5804","2021-01-01","2023-12-31"
"2705690","13220210","5804","2021-01-01","2023-12-31"
"2705691","13220220","5804","2021-01-01","2023-12-31"
"2705692","13230110","5804","2021-01-01","2023-12-31"
"2705693","13230120","5804","2021-01-01","2023-12-31"
"2705694","13230130","5804","2021-01-01","2023-12-31"
"2705695","13230140","5804","2021-01-01","2023-12-31"
"2705696","13230500","5804","2021-01-01","2023-12-31"
"2705697","13241000","5804","2021-01-01","2023-12-31"
"2705698","13250000","5804","2021-01-01","2023-12-31"
"2705699","13252200","5804","2021-01-01","2023-12-31"
"2705700","13252500","5804","2021-01-01","2023-12-31"
"2705701","13252590","5804","2021-01-01","2023-12-31"
"2705702","13252600","5502","2021-01-01","2023-12-31"
"2705703","13411000","8412","2021-01-01","2023-12-31"
"2705704","14010000","1602","2021-01-01","2023-12-31"
"2705705","14101010","1602","2021-01-01","2023-12-31"
"2705706","14102010","1602","2021-01-01","2023-12-31"
"2705707","14103010","1602","2021-01-01","2023-12-31"
"2705708","14103020","1602","2021-01-01","2023-12-31"
"2705709","14104100","1602","2021-01-01","2023-12-31"
"2705710","14104110","1602","2021-01-01","2023-12-31"
"2705711","14104115","1602","2021-01-01","2023-12-31"
"2705712","14104200","1602","2021-01-01","2023-12-31"
"2705713","14104250","1602","2021-01-01","2023-12-31"
"2705714","14104400","1602","2021-01-01","2023-12-31"
"2705715","14104600","1602","2021-01-01","2023-12-31"
"2705716","14104700","1602","2021-01-01","2023-12-31"
"2705717","14105010","1602","2021-01-01","2023-12-31"
"2705718","14105200","1602","2021-01-01","2023-12-31"
"2705719","14106010","1602","2021-01-01","2023-12-31"
"2705720","14106200","1602","2021-01-01","2023-12-31"
"2705721","14106500","1602","2021-01-01","2023-12-31"
"2705722","14107010","1602","2021-01-01","2023-12-31"
"2705723","14107030","1602","2021-01-01","2023-12-31"
"2705724","14107040","1602","2021-01-01","2023-12-31"
"2705725","14107060","1602","2021-01-01","2023-12-31"
"2705726","14107200","1602","2021-01-01","2023-12-31"
"2705727","14107250","1602","2021-01-01","2023-12-31"
"2705728","14108010","1602","2021-01-01","2023-12-31"
"2705729","14108015","1602","2021-01-01","2023-12-31"
"2705730","14108020","1602","2021-01-01","2023-12-31"
"2705731","14108060","1602","2021-01-01","2023-12-31"
"2705732","14108200","1602","2021-01-01","2023-12-31"
"2705733","14108400","1602","2021-01-01","2023-12-31"
"2705734","14108420","1602","2021-01-01","2023-12-31"
"2705735","14109010","1602","2021-01-01","2023-12-31"
"2705736","14109020","1602","2021-01-01","2023-12-31"
"2705737","14109030","1602","2021-01-01","2023-12-31"
"2705738","14109040","1602","2021-01-01","2023-12-31"
"2705739","14110010","1602","2021-01-01","2023-12-31"
"2705740","14110050","1602","2021-01-01","2023-12-31"
"2705741","14120010","1602","2021-01-01","2023-12-31"
"2705742","14120020","1602","2021-01-01","2023-12-31"
"2705743","14131000","1602","2021-01-01","2023-12-31"
"2705744","14131500","1602","2021-01-01","2023-12-31"
"2705745","14133000","1602","2021-01-01","2023-12-31"
"2705746","14134000","1602","2021-01-01","2023-12-31"
"2705747","14200100","1604","2021-01-01","2023-12-31"
"2705748","14201010","1604","2021-01-01","2023-12-31"
"2705749","14201200","1604","2021-01-01","2023-12-31"
"2705750","14201500","1604","2021-01-01","2023-12-31"
"2705751","14202010","1604","2021-01-01","2023-12-31"
"2705752","14202020","1604","2021-01-01","2023-12-31"
"2705753","14203010","1604","2021-01-01","2023-12-31"
"2705754","14203020","1604","2021-01-01","2023-12-31"
"2705755","14203510","1604","2021-01-01","2023-12-31"
"2705756","14204010","1604","2021-01-01","2023-12-31"
"2705757","14204020","1604","2021-01-01","2023-12-31"
"2705758","14206010","1604","2021-01-01","2023-12-31"
"2705759","14207010","1604","2021-01-01","2023-12-31"
"2705760","14301010","8006","2021-01-01","2023-12-31"
"2705761","14301100","8006","2021-01-01","2023-12-31"
"2705762","14303010","8006","2021-01-01","2023-12-31"
"2705763","14410100","1602","2021-01-01","2023-12-31"
"2705764","14410110","1602","2021-01-01","2023-12-31"
"2705765","14410120","1602","2021-01-01","2023-12-31"
"2705766","14410130","1602","2021-01-01","2023-12-31"
"2705767","14410210","1602","2021-01-01","2023-12-31"
"2705768","14410330","1602","2021-01-01","2023-12-31"
"2705769","14410380","8006","2021-01-01","2023-12-31"
"2705770","14410500","1602","2021-01-01","2023-12-31"
"2705771","14410600","1602","2021-01-01","2023-12-31"
"2705772","14410620","1602","2021-01-01","2023-12-31"
"2705773","14420100","1602","2021-01-01","2023-12-31"
"2705774","14420160","1602","2021-01-01","2023-12-31"
"2705775","14420200","8006","2021-01-01","2023-12-31"
"2705776","14420300","1602","2021-01-01","2023-12-31"
"2705777","14502000","1602","2021-01-01","2023-12-31"
"2705778","14610200","1604","2021-01-01","2023-12-31"
"2705779","14610210","1604","2021-01-01","2023-12-31"
"2705780","14610250","1604","2021-01-01","2023-12-31"
"2705781","14610520","1602","2021-01-01","2023-12-31"
"2705782","14620110","8412","2021-01-01","2023-12-31"
"2705783","14620115","8412","2021-01-01","2023-12-31"
"2705784","14620130","8412","2021-01-01","2023-12-31"
"2705785","14620150","8412","2021-01-01","2023-12-31"
"2705786","14620200","8412","2021-01-01","2023-12-31"
"2705787","14620300","3602","2021-01-01","2023-12-31"
"2705788","14620310","3602","2021-01-01","2023-12-31"
"2705789","14620320","3602","2021-01-01","2023-12-31"
"2705790","14620330","3602","2021-01-01","2023-12-31"
"2705791","14630100","8412","2021-01-01","2023-12-31"
"2705792","14630200","2502","2021-01-01","2023-12-31"
"2705793","14630300","8412","2021-01-01","2023-12-31"
"2705794","14640000","3720","2021-01-01","2023-12-31"
"2705795","14640002","3720","2021-01-01","2023-12-31"
"2705796","14640004","3720","2021-01-01","2023-12-31"
"2705797","14640008","3720","2021-01-01","2023-12-31"
"2705798","14640010","3720","2021-01-01","2023-12-31"
"2705799","14640014","3720","2021-01-01","2023-12-31"
"2705800","14640016","3720","2021-01-01","2023-12-31"
"2705801","14640100","3720","2021-01-01","2023-12-31"
"2705802","14640105","3720","2021-01-01","2023-12-31"
"2705803","14640110","3720","2021-01-01","2023-12-31"
"2705804","14640125","3720","2021-01-01","2023-12-31"
"2705805","14640130","3720","2021-01-01","2023-12-31"
"2705806","14640155","3720","2021-01-01","2023-12-31"
"2705807","14640160","3720","2021-01-01","2023-12-31"
"2705808","14650100","8412","2021-01-01","2023-12-31"
"2705809","14650160","8412","2021-01-01","2023-12-31"
"2705810","14650165","8412","2021-01-01","2023-12-31"
"2705811","14650170","8412","2021-01-01","2023-12-31"
"2705812","14650175","8412","2021-01-01","2023-12-31"
"2705813","14650180","8412","2021-01-01","2023-12-31"
"2705814","14650185","8412","2021-01-01","2023-12-31"
"2705815","14650190","8412","2021-01-01","2023-12-31"
"2705816","14650195","8412","2021-01-01","2023-12-31"
"2705817","14660200","1602","2021-01-01","2023-12-31"
"2705818","14670000","6432","2021-01-01","2023-12-31"
"2705819","20000000","2002","2021-01-01","2023-12-31"
"2705820","20000200","2004","2021-01-01","2023-12-31"
"2705821","20000300","9008","2021-01-01","2023-12-31"
"2705822","21000100","2002","2021-01-01","2023-12-31"
"2705823","21001000","2002","2021-01-01","2023-12-31"
"2705824","21101000","2002","2021-01-01","2023-12-31"
"2705825","21101140","2002","2021-01-01","2023-12-31"
"2705826","21101150","2002","2021-01-01","2023-12-31"
"2705827","21101160","2002","2021-01-01","2023-12-31"
"2705828","21101170","2002","2021-01-01","2023-12-31"
"2705829","21101180","2002","2021-01-01","2023-12-31"
"2705830","21101190","2002","2021-01-01","2023-12-31"
"2705831","21102140","2002","2021-01-01","2023-12-31"
"2705832","21102150","2002","2021-01-01","2023-12-31"
"2705833","21102160","2002","2021-01-01","2023-12-31"
"2705834","21102170","2002","2021-01-01","2023-12-31"
"2705835","21102180","2002","2021-01-01","2023-12-31"
"2705836","21102190","2002","2021-01-01","2023-12-31"
"2705837","21103140","2002","2021-01-01","2023-12-31"
"2705838","21103150","2002","2021-01-01","2023-12-31"
"2705839","21103160","2002","2021-01-01","2023-12-31"
"2705840","21103170","2002","2021-01-01","2023-12-31"
"2705841","21103180","2002","2021-01-01","2023-12-31"
"2705842","21104110","2002","2021-01-01","2023-12-31"
"2705843","21301000","2002","2021-01-01","2023-12-31"
"2705844","21302000","2002","2021-01-01","2023-12-31"
"2705845","21304200","2002","2021-01-01","2023-12-31"
"2705846","21305000","2002","2021-01-01","2023-12-31"
"2705847","21401000","2002","2021-01-01","2023-12-31"
"2705848","21407000","2002","2021-01-01","2023-12-31"
"2705849","21410000","2002","2021-01-01","2023-12-31"
"2705850","21416000","2602","2021-01-01","2023-12-31"
"2705851","21417100","2002","2021-01-01","2023-12-31"
"2705852","21420100","2002","2021-01-01","2023-12-31"
"2705853","21500000","2004","2021-01-01","2023-12-31"
"2705854","21500100","2004","2021-01-01","2023-12-31"
"2705855","21500310","2004","2021-01-01","2023-12-31"
"2705856","21601000","2604","2021-01-01","2023-12-31"
"2705857","21601010","2604","2021-01-01","2023-12-31"
"2705858","21602000","2602","2021-01-01","2023-12-31"
"2705859","21602010","2602","2021-01-01","2023-12-31"
"2705860","21602100","2602","2021-01-01","2023-12-31"
"2705861","21701010","9008","2021-01-01","2023-12-31"
"2705862","22000100","2006","2021-01-01","2023-12-31"
"2705863","22002000","2006","2021-01-01","2023-12-31"
"2705864","22002050","2006","2021-01-01","2023-12-31"
"2705865","22002800","2602","2021-01-01","2023-12-31"
"2705866","22101000","2006","2021-01-01","2023-12-31"
"2705867","22101010","2006","2021-01-01","2023-12-31"
"2705868","22101020","2006","2021-01-01","2023-12-31"
"2705869","22101300","2006","2021-01-01","2023-12-31"
"2705870","22101310","2006","2021-01-01","2023-12-31"
"2705871","22101320","2006","2021-01-01","2023-12-31"
"2705872","22101330","3002","2021-01-01","2023-12-31"
"2705873","22201100","2006","2021-01-01","2023-12-31"
"2705874","22201110","2006","2021-01-01","2023-12-31"
"2705875","22201120","2006","2021-01-01","2023-12-31"
"2705876","22201400","2006","2021-01-01","2023-12-31"
"2705877","22210300","2006","2021-01-01","2023-12-31"
"2705878","22311000","2602","2021-01-01","2023-12-31"
"2705879","22311450","2602","2021-01-01","2023-12-31"
"2705880","22311500","2602","2021-01-01","2023-12-31"
"2705881","22321110","2602","2021-01-01","2023-12-31"
"2705882","22400100","2006","2021-01-01","2023-12-31"
"2705883","22431000","2602","2021-01-01","2023-12-31"
"2705884","22501010","2602","2021-01-01","2023-12-31"
"2705885","22600100","2604","2021-01-01","2023-12-31"
"2705886","22600110","2604","2021-01-01","2023-12-31"
"2705887","22600200","2604","2021-01-01","2023-12-31"
"2705888","22600210","2604","2021-01-01","2023-12-31"
"2705889","22601000","2604","2021-01-01","2023-12-31"
"2705890","22601040","2604","2021-01-01","2023-12-31"
"2705891","22602010","2604","2021-01-01","2023-12-31"
"2705892","22621100","8002","2021-01-01","2023-12-31"
"2705893","22700000","2006","2021-01-01","2023-12-31"
"2705894","22701000","2006","2021-01-01","2023-12-31"
"2705895","22704010","2006","2021-01-01","2023-12-31"
"2705896","22705010","2006","2021-01-01","2023-12-31"
"2705897","22706010","2006","2021-01-01","2023-12-31"
"2705898","22707010","2006","2021-01-01","2023-12-31"
