"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"34136284","2705385","629","0.001","","","","","","",""
"34136278","2705385","619","0.013","","","","","","",""
"34136270","2705385","609","0.034","","","","","","",""
"34136232","2705385","269","4.81","","","","","","",""
"34136239","2705385","307","38","","","","","","",""
"34136235","2705385","303","0","","","","","","",""
"34136285","2705385","630","0","","","","","","",""
"34136243","2705385","319","31","","","","","","",""
"34136263","2705385","435","0","","","","","","",""
"34136276","2705385","617","0.694","","","","","","",""
"34136254","2705385","405","0.138","","","","","","",""
"34136268","2705385","607","0.067","","","","","","",""
"34136288","2705385","646","0.108","","","","","","",""
"34136281","2705385","626","0.047","","","","","","",""
"34136256","2705385","415","0.061","","","","","","",""
"34136238","2705385","306","150","","","","","","",""
"34136259","2705385","421","17.8","","","","","","",""
"34136258","2705385","418","0.54","","","","","","",""
"34136241","2705385","312","0.001","","","","","","",""
"34136249","2705385","334","0","","","","","","",""
"34136228","2705385","221","0","","","","","","",""
"34136229","2705385","255","88.1","","","","","","",""
"34136274","2705385","613","0.857","","","","","","",""
"34136227","2705385","208","61","","","","","","",""
"34136273","2705385","612","0.303","","","","","","",""
"34136231","2705385","263","0","","","","","","",""
"34136266","2705385","601","12","","","","","","",""
"34136297","2705386","269","4.89","","","","","","",""
"34136308","2705386","319","83","","","","","","",""
"34136353","2705386","646","0.058","","","","","","",""
"34136304","2705386","307","39","","","","","","",""
"34136294","2705386","255","89.1","","","","","","",""
"34136340","2705386","614","0.184","","","","","","",""
"34136319","2705386","405","0.137","","","","","","",""
"34136345","2705386","621","0","","","","","","",""
"34136331","2705386","601","8","","","","","","",""
"34136334","2705386","608","0.032","","","","","","",""
"34136316","2705386","338","0","","","","","","",""
"34136305","2705386","309","0.43","","","","","","",""
"34136317","2705386","401","0.2","","","","","","",""
"34136320","2705386","406","0.112","","","","","","",""
"34136295","2705386","262","0","","","","","","",""
"34136289","2705386","203","3.36","","","","","","",""
"34136313","2705386","328","1.1","","","","","","",""
"34136346","2705386","626","0.029","","","","","","",""
"34136309","2705386","320","83","","","","","","",""
"34136315","2705386","337","0","","","","","","",""
"34136322","2705386","417","2","","","","","","",""
"34136348","2705386","628","0.002","","","","","","",""
"34136342","2705386","618","0.061","","","","","","",""
"34136327","2705386","432","2","","","","","","",""
"34136299","2705386","301","126","","","","","","",""
"34136324","2705386","421","18.2","","","","","","",""
"34136307","2705386","317","1.8","","","","","","",""
"34136337","2705386","611","0.058","","","","","","",""
"34136292","2705386","208","50","","","","","","",""
"34136323","2705386","418","0.55","","","","","","",""
"34136335","2705386","609","0.021","","","","","","",""
"34136291","2705386","205","4.9","","","","","","",""
"34136347","2705386","627","0","","","","","","",""
"34136318","2705386","404","0.059","","","","","","",""
"34136321","2705386","415","0.061","","","","","","",""
"34136329","2705386","573","0","","","","","","",""
"34136303","2705386","306","159","","","","","","",""
"34136298","2705386","291","0","","","","","","",""
"34136339","2705386","613","0.512","","","","","","",""
"34136301","2705386","304","12","","","","","","",""
"34136344","2705386","620","0.003","","","","","","",""
"34136351","2705386","631","0.001","","","","","","",""
"34136336","2705386","610","0.049","","","","","","",""
"34136349","2705386","629","0","","","","","","",""
"34136330","2705386","578","0","","","","","","",""
"34136350","2705386","630","0","","","","","","",""
"34136300","2705386","303","0","","","","","","",""
"34136326","2705386","431","0","","","","","","",""
"34136293","2705386","221","0","","","","","","",""
"34136296","2705386","263","0","","","","","","",""
"34136352","2705386","645","0.4","","","","","","",""
"34136341","2705386","617","0.41","","","","","","",""
"34136311","2705386","322","0","","","","","","",""
"34136328","2705386","435","2","","","","","","",""
"34136290","2705386","204","1.9","","","","","","",""
"34136338","2705386","612","0.181","","","","","","",""
"34136312","2705386","323","0.03","","","","","","",""
"34136302","2705386","305","103","","","","","","",""
"34136314","2705386","334","0","","","","","","",""
"34136310","2705386","321","3","","","","","","",""
"34136325","2705386","430","0.2","","","","","","",""
"34136333","2705386","607","0.041","","","","","","",""
"34136332","2705386","606","1.11","","","","","","",""
"34136306","2705386","312","0.001","","","","","","",""
"34136343","2705386","619","0.007","","","","","","",""
"34136374","2705387","320","58","","","","","","",""
"34136409","2705387","620","0.001","","","","","","",""
"34136418","2705387","646","0.032","","","","","","",""
"34136390","2705387","430","0.1","","","","","","",""
"34136415","2705387","630","0","","","","","","",""
"34136397","2705387","606","0.568","","","","","","",""
"34136378","2705387","328","1.1","","","","","","",""
"34136404","2705387","613","0.265","","","","","","",""
"34136408","2705387","619","0.004","","","","","","",""
"34136356","2705387","205","5.18","","","","","","",""
"34136395","2705387","578","0","","","","","","",""
"34136388","2705387","418","0.61","","","","","","",""
"34136411","2705387","626","0.014","","","","","","",""
"34136366","2705387","304","12","","","","","","",""
"34136355","2705387","204","0.95","","","","","","",""
"34136367","2705387","305","103","","","","","","",""
"34136414","2705387","629","0","","","","","","",""
"34136401","2705387","610","0.023","","","","","","",""
"34136357","2705387","208","43","","","","","","",""
"34136369","2705387","307","39","","","","","","",""
"34136362","2705387","269","4.96","","","","","","",""
"34136358","2705387","221","0","","","","","","",""
"34136398","2705387","607","0.022","","","","","","",""
"34136379","2705387","334","0","","","","","","",""
"34136354","2705387","203","3.38","","","","","","",""
"34136382","2705387","401","0","","","","","","",""
"34136400","2705387","609","0.011","","","","","","",""
"34136394","2705387","573","0","","","","","","",""
"34136391","2705387","431","0","","","","","","",""
"34136384","2705387","405","0.14","","","","","","",""
"34136360","2705387","262","0","","","","","","",""
"34136407","2705387","618","0.033","","","","","","",""
"34136370","2705387","309","0.43","","","","","","",""
"34136405","2705387","614","0.096","","","","","","",""
"34136389","2705387","421","17.4","","","","","","",""
"34136380","2705387","337","0","","","","","","",""
"34136402","2705387","611","0.026","","","","","","",""
"34136387","2705387","417","2","","","","","","",""
"34136413","2705387","628","0.001","","","","","","",""
"34136377","2705387","323","0.02","","","","","","",""
"34136393","2705387","435","2","","","","","","",""
"34136372","2705387","317","2.1","","","","","","",""
"34136363","2705387","291","0","","","","","","",""
"34136412","2705387","627","0","","","","","","",""
"34136403","2705387","612","0.093","","","","","","",""
"34136392","2705387","432","2","","","","","","",""
"34136383","2705387","404","0.057","","","","","","",""
"34136365","2705387","303","0","","","","","","",""
"34136381","2705387","338","0","","","","","","",""
"34136406","2705387","617","0.214","","","","","","",""
"34136364","2705387","301","126","","","","","","",""
"34136361","2705387","263","0","","","","","","",""
"34136375","2705387","321","1","","","","","","",""
"34136417","2705387","645","0.21","","","","","","",""
"34136399","2705387","608","0.015","","","","","","",""
"34136416","2705387","631","0","","","","","","",""
"34136410","2705387","621","0","","","","","","",""
"34136368","2705387","306","159","","","","","","",""
"34136359","2705387","255","89.7","","","","","","",""
"34136376","2705387","322","0","","","","","","",""
"34136373","2705387","319","58","","","","","","",""
"34136371","2705387","312","0.001","","","","","","",""
"34136385","2705387","406","0.113","","","","","","",""
"34136386","2705387","415","0.06","","","","","","",""
"34136396","2705387","601","5","","","","","","",""
"34136440","2705388","321","2","","","","","","",""
"34136439","2705388","320","64","","","","","","",""
"34136446","2705388","338","0","","","","","","",""
"34136442","2705388","323","0","","","","","","",""
"34136477","2705388","627","0","","","","","","",""
"34136436","2705388","312","0.002","","","","","","",""
"34136467","2705388","611","0.002","","","","","","",""
"34136463","2705388","607","0.003","","","","","","",""
"34136449","2705388","405","0.131","","","","","","",""
"34136460","2705388","578","0","","","","","","",""
"34136459","2705388","573","0","","","","","","",""
"34136466","2705388","610","0.002","","","","","","",""
"34136465","2705388","609","0.001","","","","","","",""
"34136428","2705388","291","0","","","","","","",""
"34136422","2705388","208","34","","","","","","",""
"34136481","2705388","631","0","","","","","","",""
"34136475","2705388","621","0","","","","","","",""
"34136437","2705388","317","2","","","","","","",""
"34136482","2705388","645","0.017","","","","","","",""
"34136469","2705388","613","0.021","","","","","","",""
"34136454","2705388","421","18.2","","","","","","",""
"34136483","2705388","646","0.006","","","","","","",""
"34136458","2705388","435","2","","","","","","",""
"34136448","2705388","404","0.056","","","","","","",""
"34136456","2705388","431","0","","","","","","",""
"34136479","2705388","629","0","","","","","","",""
"34136438","2705388","319","64","","","","","","",""
"34136421","2705388","205","4.92","","","","","","",""
"34136480","2705388","630","0","","","","","","",""
"34136424","2705388","255","90.8","","","","","","",""
"34136419","2705388","203","3.43","","","","","","",""
"34136471","2705388","617","0.018","","","","","","",""
"34136426","2705388","263","0","","","","","","",""
"34136462","2705388","606","0.049","","","","","","",""
"34136423","2705388","221","0","","","","","","",""
"34136472","2705388","618","0.005","","","","","","",""
"34136464","2705388","608","0.001","","","","","","",""
"34136445","2705388","337","0","","","","","","",""
"34136430","2705388","303","0","","","","","","",""
"34136432","2705388","305","107","","","","","","",""
"34136461","2705388","601","3","","","","","","",""
"34136473","2705388","619","0","","","","","","",""
"34136431","2705388","304","12","","","","","","",""
"34136452","2705388","417","2","","","","","","",""
"34136468","2705388","612","0.008","","","","","","",""
"34136478","2705388","628","0","","","","","","",""
"34136474","2705388","620","0","","","","","","",""
"34136429","2705388","301","132","","","","","","",""
"34136455","2705388","430","0","","","","","","",""
"34136457","2705388","432","2","","","","","","",""
"34136435","2705388","309","0.45","","","","","","",""
"34136444","2705388","334","0","","","","","","",""
"34136425","2705388","262","0","","","","","","",""
"34136420","2705388","204","0.08","","","","","","",""
"34136434","2705388","307","41","","","","","","",""
"34136433","2705388","306","167","","","","","","",""
"34136453","2705388","418","0.58","","","","","","",""
"34136470","2705388","614","0.009","","","","","","",""
"34136476","2705388","626","0.001","","","","","","",""
"34136427","2705388","269","5.05","","","","","","",""
"34136450","2705388","406","0.118","","","","","","",""
"34136447","2705388","401","0","","","","","","",""
"34136451","2705388","415","0.058","","","","","","",""
"34136443","2705388","328","1.1","","","","","","",""
"34136441","2705388","322","0","","","","","","",""
"34136497","2705389","305","103","","","","","","",""
"34136514","2705389","405","0.14","","","","","","",""
"34136537","2705389","618","0.033","","","","","","",""
"34136516","2705389","415","0.06","","","","","","",""
"34136533","2705389","612","0.093","","","","","","",""
"34136534","2705389","613","0.265","","","","","","",""
"34136547","2705389","645","0.21","","","","","","",""
"34136509","2705389","334","0","","","","","","",""
"34136543","2705389","628","0.001","","","","","","",""
"34136521","2705389","431","0","","","","","","",""
"34136512","2705389","401","0","","","","","","",""
"34136498","2705389","306","159","","","","","","",""
"34136546","2705389","631","0","","","","","","",""
"34136508","2705389","328","1.1","","","","","","",""
"34136528","2705389","607","0.022","","","","","","",""
"34136539","2705389","620","0.001","","","","","","",""
"34136530","2705389","609","0.011","","","","","","",""
"34136511","2705389","338","0","","","","","","",""
"34136488","2705389","221","0","","","","","","",""
"34136490","2705389","262","0","","","","","","",""
"34136487","2705389","208","43","","","","","","",""
"34136486","2705389","205","5.18","","","","","","",""
"34136522","2705389","432","2","","","","","","",""
"34136515","2705389","406","0.113","","","","","","",""
"34136495","2705389","303","0","","","","","","",""
"34136538","2705389","619","0.004","","","","","","",""
"34136518","2705389","418","0.61","","","","","","",""
"34136540","2705389","621","0","","","","","","",""
"34136502","2705389","317","2.1","","","","","","",""
"34136491","2705389","263","0","","","","","","",""
"34136496","2705389","304","12","","","","","","",""
"34136505","2705389","321","1","","","","","","",""
"34136525","2705389","578","0","","","","","","",""
"34136529","2705389","608","0.015","","","","","","",""
"34136531","2705389","610","0.023","","","","","","",""
"34136541","2705389","626","0.014","","","","","","",""
"34136544","2705389","629","0","","","","","","",""
"34136489","2705389","255","89.7","","","","","","",""
"34136520","2705389","430","0.1","","","","","","",""
"34136507","2705389","323","0.02","","","","","","",""
"34136506","2705389","322","0","","","","","","",""
"34136500","2705389","309","0.43","","","","","","",""
"34136519","2705389","421","17.4","","","","","","",""
"34136527","2705389","606","0.568","","","","","","",""
"34136504","2705389","320","58","","","","","","",""
"34136535","2705389","614","0.096","","","","","","",""
"34136492","2705389","269","4.96","","","","","","",""
"34136545","2705389","630","0","","","","","","",""
"34136485","2705389","204","0.95","","","","","","",""
"34136513","2705389","404","0.057","","","","","","",""
"34136548","2705389","646","0.032","","","","","","",""
"34136526","2705389","601","5","","","","","","",""
"34136523","2705389","435","2","","","","","","",""
"34136494","2705389","301","126","","","","","","",""
"34136503","2705389","319","58","","","","","","",""
"34136493","2705389","291","0","","","","","","",""
"34136484","2705389","203","3.38","","","","","","",""
"34136542","2705389","627","0","","","","","","",""
"34136536","2705389","617","0.214","","","","","","",""
"34136501","2705389","312","0.001","","","","","","",""
"34136510","2705389","337","0","","","","","","",""
"34136499","2705389","307","39","","","","","","",""
"34136532","2705389","611","0.026","","","","","","",""
"34136517","2705389","417","2","","","","","","",""
"34136524","2705389","573","0","","","","","","",""
"34136552","2705390","208","34","","","","","","",""
"34136592","2705390","606","0.049","","","","","","",""
"34136577","2705390","401","0","","","","","","",""
"34136560","2705390","303","0","","","","","","",""
"34136589","2705390","573","0","","","","","","",""
"34136611","2705390","631","0","","","","","","",""
"34136585","2705390","430","0","","","","","","",""
"34136596","2705390","610","0.002","","","","","","",""
"34136564","2705390","307","41","","","","","","",""
"34136600","2705390","614","0.009","","","","","","",""
"34136584","2705390","421","18.2","","","","","","",""
"34136569","2705390","320","64","","","","","","",""
"34136563","2705390","306","167","","","","","","",""
"34136591","2705390","601","3","","","","","","",""
"34136590","2705390","578","0","","","","","","",""
"34136597","2705390","611","0.002","","","","","","",""
"34136613","2705390","646","0.006","","","","","","",""
"34136601","2705390","617","0.018","","","","","","",""
"34136610","2705390","630","0","","","","","","",""
"34136574","2705390","334","0","","","","","","",""
"34136598","2705390","612","0.008","","","","","","",""
"34136588","2705390","435","2","","","","","","",""
"34136571","2705390","322","0","","","","","","",""
"34136575","2705390","337","0","","","","","","",""
"34136582","2705390","417","2","","","","","","",""
"34136604","2705390","620","0","","","","","","",""
"34136561","2705390","304","12","","","","","","",""
"34136567","2705390","317","2","","","","","","",""
"34136559","2705390","301","132","","","","","","",""
"34136551","2705390","205","4.92","","","","","","",""
"34136578","2705390","404","0.056","","","","","","",""
"34136593","2705390","607","0.003","","","","","","",""
"34136607","2705390","627","0","","","","","","",""
"34136581","2705390","415","0.058","","","","","","",""
"34136570","2705390","321","2","","","","","","",""
"34136576","2705390","338","0","","","","","","",""
"34136594","2705390","608","0.001","","","","","","",""
"34136554","2705390","255","90.8","","","","","","",""
"34136602","2705390","618","0.005","","","","","","",""
"34136572","2705390","323","0","","","","","","",""
"34136612","2705390","645","0.017","","","","","","",""
"34136603","2705390","619","0","","","","","","",""
"34136609","2705390","629","0","","","","","","",""
"34136562","2705390","305","107","","","","","","",""
"34136583","2705390","418","0.58","","","","","","",""
"34136555","2705390","262","0","","","","","","",""
"34136595","2705390","609","0.001","","","","","","",""
"34136586","2705390","431","0","","","","","","",""
"34136580","2705390","406","0.118","","","","","","",""
"34136566","2705390","312","0.002","","","","","","",""
"34136608","2705390","628","0","","","","","","",""
"34136579","2705390","405","0.131","","","","","","",""
"34136606","2705390","626","0.001","","","","","","",""
"34136558","2705390","291","0","","","","","","",""
"34136587","2705390","432","2","","","","","","",""
"34136556","2705390","263","0","","","","","","",""
"34136565","2705390","309","0.45","","","","","","",""
"34136605","2705390","621","0","","","","","","",""
"34136549","2705390","203","3.43","","","","","","",""
"34136550","2705390","204","0.08","","","","","","",""
"34136573","2705390","328","1.1","","","","","","",""
"34136599","2705390","613","0.021","","","","","","",""
"34136553","2705390","221","0","","","","","","",""
"34136557","2705390","269","5.05","","","","","","",""
"34136568","2705390","319","64","","","","","","",""
"34136676","2705391","631","0.001","","","","","","",""
"34136663","2705391","612","0.181","","","","","","",""
"34136677","2705391","645","0.4","","","","","","",""
"34136675","2705391","630","0","","","","","","",""
"34136664","2705391","613","0.512","","","","","","",""
"34136669","2705391","620","0.003","","","","","","",""
"34136678","2705391","646","0.058","","","","","","",""
"34136674","2705391","629","0","","","","","","",""
"34136661","2705391","610","0.049","","","","","","",""
"34136673","2705391","628","0.002","","","","","","",""
"34136667","2705391","618","0.061","","","","","","",""
"34136659","2705391","608","0.032","","","","","","",""
"34136660","2705391","609","0.021","","","","","","",""
"34136671","2705391","626","0.029","","","","","","",""
"34136672","2705391","627","0","","","","","","",""
"34136670","2705391","621","0","","","","","","",""
"34136662","2705391","611","0.058","","","","","","",""
"34136668","2705391","619","0.007","","","","","","",""
"34136666","2705391","617","0.41","","","","","","",""
"34136665","2705391","614","0.184","","","","","","",""
"34136623","2705391","291","0","","","","","","",""
"34136649","2705391","421","18.2","","","","","","",""
"34136635","2705391","321","3","","","","","","",""
"34136627","2705391","305","103","","","","","","",""
"34136614","2705391","203","3.36","","","","","","",""
"34136644","2705391","405","0.137","","","","","","",""
"34136656","2705391","601","8","","","","","","",""
"34136648","2705391","418","0.55","","","","","","",""
"34136640","2705391","337","0","","","","","","",""
"34136636","2705391","322","0","","","","","","",""
"34136634","2705391","320","83","","","","","","",""
"34136624","2705391","301","126","","","","","","",""
"34136654","2705391","573","0","","","","","","",""
"34136629","2705391","307","39","","","","","","",""
"34136650","2705391","430","0.2","","","","","","",""
"34136651","2705391","431","0","","","","","","",""
"34136621","2705391","263","0","","","","","","",""
"34136638","2705391","328","1.1","","","","","","",""
"34136628","2705391","306","159","","","","","","",""
"34136622","2705391","269","4.89","","","","","","",""
"34136632","2705391","317","1.8","","","","","","",""
"34136633","2705391","319","83","","","","","","",""
"34136619","2705391","255","89.1","","","","","","",""
"34136631","2705391","312","0.001","","","","","","",""
"34136618","2705391","221","0","","","","","","",""
"34136615","2705391","204","1.9","","","","","","",""
"34136630","2705391","309","0.43","","","","","","",""
"34136653","2705391","435","2","","","","","","",""
"34136658","2705391","607","0.041","","","","","","",""
"34136645","2705391","406","0.112","","","","","","",""
"34136620","2705391","262","0","","","","","","",""
"34136637","2705391","323","0.03","","","","","","",""
"34136625","2705391","303","0","","","","","","",""
"34136639","2705391","334","0","","","","","","",""
"34136626","2705391","304","12","","","","","","",""
"34136643","2705391","404","0.059","","","","","","",""
"34136647","2705391","417","2","","","","","","",""
"34136617","2705391","208","50","","","","","","",""
"34136657","2705391","606","1.11","","","","","","",""
"34136641","2705391","338","0","","","","","","",""
"34136652","2705391","432","2","","","","","","",""
"34136655","2705391","578","0","","","","","","",""
"34136646","2705391","415","0.061","","","","","","",""
"34136616","2705391","205","4.9","","","","","","",""
"34136642","2705391","401","0.2","","","","","","",""
"34136735","2705392","621","0","","","","","","",""
"34136691","2705392","304","12","","","","","","",""
"34136724","2705392","608","0.054","","","","","","",""
"34136732","2705392","618","0.115","","","","","","",""
"34136730","2705392","614","0.309","","","","","","",""
"34136725","2705392","609","0.034","","","","","","",""
"34136719","2705392","573","0","","","","","","",""
"34136703","2705392","328","1.1","","","","","","",""
"34136700","2705392","321","7","","","","","","",""
"34136702","2705392","323","0.05","","","","","","",""
"34136699","2705392","320","32","","","","","","",""
"34136687","2705392","269","4.81","","","","","","",""
"34136684","2705392","255","88.1","","","","","","",""
"34136723","2705392","607","0.067","","","","","","",""
"34136683","2705392","221","0","","","","","","",""
"34136708","2705392","404","0.056","","","","","","",""
"34136740","2705392","630","0","","","","","","",""
"34136686","2705392","263","0","","","","","","",""
"34136696","2705392","312","0.001","","","","","","",""
"34136722","2705392","606","1.86","","","","","","",""
"34136718","2705392","435","0","","","","","","",""
"34136716","2705392","431","0","","","","","","",""
"34136717","2705392","432","0","","","","","","",""
"34136680","2705392","204","3.2","","","","","","",""
"34136728","2705392","612","0.303","","","","","","",""
"34136690","2705392","303","0","","","","","","",""
"34136698","2705392","319","31","","","","","","",""
"34136712","2705392","417","0","","","","","","",""
"34136705","2705392","337","0","","","","","","",""
"34136685","2705392","262","0","","","","","","",""
"34136739","2705392","629","0.001","","","","","","",""
"34136743","2705392","646","0.108","","","","","","",""
"34136681","2705392","205","4.63","","","","","","",""
"34136709","2705392","405","0.138","","","","","","",""
"34136733","2705392","619","0.013","","","","","","",""
"34136720","2705392","578","0","","","","","","",""
"34136713","2705392","418","0.54","","","","","","",""
"34136727","2705392","611","0.097","","","","","","",""
"34136694","2705392","307","38","","","","","","",""
"34136737","2705392","627","0","","","","","","",""
"34136736","2705392","626","0.047","","","","","","",""
"34136741","2705392","631","0.002","","","","","","",""
"34136701","2705392","322","0","","","","","","",""
"34136693","2705392","306","150","","","","","","",""
"34136742","2705392","645","0.688","","","","","","",""
"34136715","2705392","430","0.3","","","","","","",""
"34136706","2705392","338","0","","","","","","",""
"34136721","2705392","601","12","","","","","","",""
"34136695","2705392","309","0.42","","","","","","",""
"34136734","2705392","620","0.004","","","","","","",""
"34136704","2705392","334","0","","","","","","",""
"34136682","2705392","208","61","","","","","","",""
"34136697","2705392","317","1.9","","","","","","",""
"34136688","2705392","291","0","","","","","","",""
"34136738","2705392","628","0.004","","","","","","",""
"34136714","2705392","421","17.8","","","","","","",""
"34136679","2705392","203","3.27","","","","","","",""
"34136731","2705392","617","0.694","","","","","","",""
"34136710","2705392","406","0.105","","","","","","",""
"34136689","2705392","301","123","","","","","","",""
"34136692","2705392","305","101","","","","","","",""
"34136711","2705392","415","0.061","","","","","","",""
"34136707","2705392","401","0","","","","","","",""
"34136726","2705392","610","0.084","","","","","","",""
"34136729","2705392","613","0.857","","","","","","",""
"34136799","2705393","620","0","","","","","","",""
"34136784","2705393","573","0","","","","","","",""
"34136767","2705393","323","0.05","","","","","","",""
"34136756","2705393","304","11","","","","","","",""
"34136761","2705393","312","0.001","","","","","","",""
"34136787","2705393","606","0.552","","","","","","",""
"34136752","2705393","269","5.36","","","","","","",""
"34136765","2705393","321","0","","","","","","",""
"34136762","2705393","317","2","","","","","","",""
"34136805","2705393","630","0","","","","","","",""
"34136794","2705393","613","0.258","","","","","","",""
"34136746","2705393","205","4.81","","","","","","",""
"34136758","2705393","306","158","","","","","","",""
"34136768","2705393","328","0.5","","","","","","",""
"34136808","2705393","646","0.033","","","","","","",""
"34136769","2705393","334","0","","","","","","",""
"34136793","2705393","612","0.089","","","","","","",""
"34136800","2705393","621","0","","","","","","",""
"34136771","2705393","338","0","","","","","","",""
"34136775","2705393","406","0.128","","","","","","",""
"34136745","2705393","204","1.08","","","","","","",""
"34136806","2705393","631","0","","","","","","",""
"34136744","2705393","203","3.46","","","","","","",""
"34136788","2705393","607","0.029","","","","","","",""
"34136803","2705393","628","0","","","","","","",""
"34136750","2705393","262","0","","","","","","",""
"34136786","2705393","601","5","","","","","","",""
"34136807","2705393","645","0.199","","","","","","",""
"34136764","2705393","320","36","","","","","","",""
"34136774","2705393","405","0.196","","","","","","",""
"34136796","2705393","617","0.221","","","","","","",""
"34136801","2705393","626","0.02","","","","","","",""
"34136779","2705393","421","17.7","","","","","","",""
"34136751","2705393","263","0","","","","","","",""
"34136763","2705393","319","36","","","","","","",""
"34136790","2705393","609","0.01","","","","","","",""
"34136777","2705393","417","5","","","","","","",""
"34136776","2705393","415","0.039","","","","","","",""
"34136754","2705393","301","120","","","","","","",""
"34136747","2705393","208","43","","","","","","",""
"34136766","2705393","322","0","","","","","","",""
"34136778","2705393","418","0.22","","","","","","",""
"34136770","2705393","337","0","","","","","","",""
"34136748","2705393","221","0","","","","","","",""
"34136791","2705393","610","0.022","","","","","","",""
"34136782","2705393","432","5","","","","","","",""
