"id","description","last_updated"
"2705586","Whey, sweet, dry","2024-10-31"
"2705587","Cocoa powder, not reconstituted","2024-10-31"
"2705588","Chocolate beverage powder, dry mix, not reconstituted","2024-10-31"
"2705589","Chocolate beverage powder, light, dry mix, not reconstituted","2024-10-31"
"2705590","Milk, malted, dry mix, not reconstituted","2024-10-31"
"2705591","Strawberry beverage powder, dry mix, not reconstituted","2024-10-31"
"2705592","Cream, NS as to light, heavy, or half and half","2024-10-31"
"2705593","Cream, light","2024-10-31"
"2705594","Cream, half and half","2024-10-31"
"2705595","Cream, half and half, flavored","2024-10-31"
"2705596","Cream, half and half, fat free","2024-10-31"
"2705597","Cream, heavy","2024-10-31"
"2705598","Cream, whipped","2024-10-31"
"2705599","Coffee creamer, NFS","2024-10-31"
"2705600","Coffee creamer, liquid","2024-10-31"
"2705601","Coffee creamer, liquid, flavored","2024-10-31"
"2705602","Coffee creamer, liquid, fat free","2024-10-31"
"2705603","Coffee creamer, liquid, fat free, flavored","2024-10-31"
"2705604","Coffee creamer, liquid, fat free, sugar free, flavored","2024-10-31"
"2705605","Coffee creamer, liquid, sugar free, flavored","2024-10-31"
"2705606","Coffee creamer, powder","2024-10-31"
"2705607","Coffee creamer, powder, flavored","2024-10-31"
"2705608","Coffee creamer, powder, fat free","2024-10-31"
"2705609","Coffee creamer,powder, sugar free, flavored","2024-10-31"
"2705610","Coffee creamer, soy, liquid","2024-10-31"
"2705611","Whipped topping","2024-10-31"
"2705612","Whipped topping, fat free","2024-10-31"
"2705613","Whipped topping, sugar free","2024-10-31"
"2705614","Sour cream, regular","2024-10-31"
"2705615","Sour cream, light","2024-10-31"
"2705616","Sour cream, fat free","2024-10-31"
"2705617","Sour cream, imitation","2024-10-31"
"2705618","Dip, NFS","2024-10-31"
"2705619","Chipotle dip, regular","2024-10-31"
"2705620","Chipotle dip, light","2024-10-31"
"2705621","Onion dip, regular","2024-10-31"
"2705622","Onion dip, light","2024-10-31"
"2705623","Ranch dip, regular","2024-10-31"
"2705624","Ranch dip, light","2024-10-31"
"2705625","Spinach dip, regular","2024-10-31"
"2705626","Spinach dip, light","2024-10-31"
"2705627","Vegetable dip, regular","2024-10-31"
"2705628","Vegetable dip, light","2024-10-31"
"2705629","Ice cream, NFS","2024-10-31"
"2705630","Ice cream, vanilla","2024-10-31"
"2705631","Ice cream, vanilla, with additional ingredients","2024-10-31"
"2705632","Ice cream, chocolate","2024-10-31"
"2705633","Ice cream, chocolate, with additional ingredients","2024-10-31"
"2705634","Ice cream, soft serve, vanilla","2024-10-31"
"2705635","Ice cream, soft serve, chocolate","2024-10-31"
"2705636","Gelato, vanilla","2024-10-31"
"2705637","Gelato, chocolate","2024-10-31"
"2705638","Ice cream bar, vanilla","2024-10-31"
"2705639","Ice cream bar, vanilla, chocolate coated","2024-10-31"
"2705640","Ice cream candy bar","2024-10-31"
"2705641","Ice cream bar, chocolate","2024-10-31"
"2705642","Ice cream sandwich, vanilla","2024-10-31"
"2705643","Ice cream sandwich, chocolate","2024-10-31"
"2705644","Ice cream cookie sandwich","2024-10-31"
"2705645","Ice cream cone, scooped, vanilla","2024-10-31"
"2705646","Ice cream cone, scooped, vanilla, waffle cone","2024-10-31"
"2705647","Ice cream cone, NFS","2024-10-31"
"2705648","Ice cream cone, scooped, chocolate","2024-10-31"
"2705649","Ice cream cone, scooped, chocolate, waffle cone","2024-10-31"
"2705650","Ice cream cone, soft serve, vanilla","2024-10-31"
"2705651","Ice cream cone, soft serve, chocolate","2024-10-31"
"2705652","Ice cream cone, soft serve, vanilla, waffle cone","2024-10-31"
"2705653","Ice cream cone, soft serve, chocolate, waffle cone","2024-10-31"
"2705654","Ice cream cone, vanilla, prepackaged","2024-10-31"
"2705655","Ice cream cone, chocolate, prepackaged","2024-10-31"
"2705656","Ice cream soda, flavors other than chocolate","2024-10-31"
"2705657","Ice cream soda, chocolate","2024-10-31"
"2705658","Ice cream sundae, NFS","2024-10-31"
"2705659","Ice cream sundae, fruit topping","2024-10-31"
"2705660","Banana split","2024-10-31"
"2705661","Ice cream sundae, hot fudge topping","2024-10-31"
"2705662","Ice cream sundae, caramel topping","2024-10-31"
"2705663","Ice cream, fried","2024-10-31"
"2705664","Light ice cream, NFS","2024-10-31"
"2705665","Light ice cream, vanilla","2024-10-31"
"2705666","Light ice cream, chocolate","2024-10-31"
"2705667","Soft serve, blended with candy or cookies, from fast food","2024-10-31"
"2705668","Light ice cream sandwich, vanilla","2024-10-31"
"2705669","Light ice cream sandwich, chocolate","2024-10-31"
"2705670","Light ice cream bar, vanilla","2024-10-31"
"2705671","Light ice cream bar, vanilla, chocolate coated","2024-10-31"
"2705672","Light ice cream bar, chocolate","2024-10-31"
"2705673","Creamsicle","2024-10-31"
"2705674","Fudgesicle","2024-10-31"
"2705675","Light ice cream cone, vanilla, prepackaged","2024-10-31"
"2705676","Light ice cream cone, chocolate, prepackaged","2024-10-31"
"2705677","Sherbet, all flavors","2024-10-31"
"2705678","Fudgesicle, light","2024-10-31"
"2705679","Pudding, chocolate, NFS","2024-10-31"
"2705680","Pudding, bread","2024-10-31"
"2705681","Pudding, flavors other than chocolate, NFS","2024-10-31"
"2705682","Custard","2024-10-31"
"2705683","Flan","2024-10-31"
"2705684","Creme brulee","2024-10-31"
"2705685","Pudding, rice","2024-10-31"
"2705686","Firni, Indian pudding","2024-10-31"
"2705687","Pudding, tapioca, made from dry mix","2024-10-31"
"2705688","Pudding, flavors other than chocolate, made from dry mix","2024-10-31"
"2705689","Pudding, chocolate, made from dry mix","2024-10-31"
"2705690","Pudding, flavors other than chocolate, made from dry mix, sugar free","2024-10-31"
"2705691","Pudding, chocolate, made from dry mix, sugar free","2024-10-31"
"2705692","Pudding, flavors other than chocolate, ready-to-eat","2024-10-31"
"2705693","Pudding, flavors other than chocolate, ready-to-eat, sugar free","2024-10-31"
"2705694","Pudding, chocolate, ready-to-eat","2024-10-31"
"2705695","Pudding, chocolate, ready-to-eat, sugar free","2024-10-31"
"2705696","Pudding, tapioca, ready-to-eat","2024-10-31"
"2705697","Banana pudding","2024-10-31"
"2705698","Mousse","2024-10-31"
"2705699","Dulce de leche","2024-10-31"
"2705700","Barfi or Burfi, Indian dessert","2024-10-31"
"2705701","Trifle","2024-10-31"
"2705702","Tiramisu","2024-10-31"
"2705703","White sauce or gravy","2024-10-31"
"2705704","Cheese, NFS","2024-10-31"
"2705705","Cheese, Blue or Roquefort","2024-10-31"
"2705706","Cheese, Brick","2024-10-31"
"2705707","Cheese, Camembert","2024-10-31"
"2705708","Cheese, Brie","2024-10-31"
"2705709","Cheese, Cheddar","2024-10-31"
"2705710","Cheese, Cheddar, reduced fat","2024-10-31"
"2705711","Cheese, Cheddar, nonfat or fat free","2024-10-31"
"2705712","Cheese, Colby","2024-10-31"
"2705713","Cheese, Colby Jack","2024-10-31"
"2705714","Cheese, Feta","2024-10-31"
"2705715","Cheese, Fontina","2024-10-31"
"2705716","Cheese, goat","2024-10-31"
"2705717","Cheese, Gouda or Edam","2024-10-31"
"2705718","Cheese, Gruyere","2024-10-31"
"2705719","Cheese, Limburger","2024-10-31"
"2705720","Cheese, Monterey","2024-10-31"
"2705721","Cheese, Monterey, reduced fat","2024-10-31"
"2705722","Cheese, Mozzarella, NFS","2024-10-31"
"2705723","Cheese, Mozzarella, part skim","2024-10-31"
"2705724","Cheese, Mozzarella, reduced sodium","2024-10-31"
"2705725","Cheese, Mozzarella, nonfat or fat free","2024-10-31"
"2705726","Cheese, Muenster","2024-10-31"
"2705727","Cheese, Muenster, reduced fat","2024-10-31"
"2705728","Cheese, Parmesan, dry grated","2024-10-31"
"2705729","Cheese, Parmesan, dry grated, reduced fat","2024-10-31"
"2705730","Cheese, Parmesan, hard","2024-10-31"
"2705731","Cheese, Parmesan, dry grated, fat free","2024-10-31"
"2705732","Cheese, Port du Salut","2024-10-31"
"2705733","Cheese, Provolone","2024-10-31"
"2705734","Cheese, provolone, reduced fat","2024-10-31"
"2705735","Cheese, Swiss","2024-10-31"
"2705736","Cheese, Swiss, reduced sodium","2024-10-31"
"2705737","Cheese, Swiss, reduced fat","2024-10-31"
"2705738","Cheese, Swiss, nonfat or fat free","2024-10-31"
"2705739","Cheese, Cheddar, reduced sodium","2024-10-31"
"2705740","Cheese, paneer","2024-10-31"
"2705741","Cheese, Mexican blend","2024-10-31"
"2705742","Cheese, Mexican blend, reduced fat","2024-10-31"
"2705743","Queso Anejo, aged Mexican cheese","2024-10-31"
"2705744","Queso Asadero","2024-10-31"
"2705745","Queso Fresco","2024-10-31"
"2705746","Queso cotija","2024-10-31"
"2705747","Cheese, cottage, NFS","2024-10-31"
"2705748","Cheese, cottage, creamed, large or small curd","2024-10-31"
"2705749","Cottage cheese, farmer's","2024-10-31"
"2705750","Cheese, Ricotta","2024-10-31"
"2705751","Cheese, cottage, with fruit","2024-10-31"
"2705752","Cheese, cottage, with vegetables","2024-10-31"
"2705753","Cheese, cottage, dry curd","2024-10-31"
"2705754","Cheese, cottage, salted, dry curd","2024-10-31"
"2705755","Puerto Rican white cheese","2024-10-31"
"2705756","Cheese, cottage, low fat","2024-10-31"
"2705757","Cheese, cottage, lowfat, with fruit","2024-10-31"
"2705758","Cheese, cottage, lowfat, low sodium","2024-10-31"
"2705759","Cheese, cottage, lowfat, lactose reduced","2024-10-31"
"2705760","Cream cheese, regular, plain","2024-10-31"
"2705761","Cream cheese, regular, flavored","2024-10-31"
"2705762","Cream cheese, light","2024-10-31"
"2705763","Cheese, American and Swiss blends","2024-10-31"
"2705764","Cheese, American","2024-10-31"
"2705765","Cheese, American, reduced fat","2024-10-31"
"2705766","Cheese, American, nonfat or fat free","2024-10-31"
"2705767","Cheese, American, reduced sodium","2024-10-31"
"2705768","Cheese spread, American or Cheddar cheese base, reduced fat","2024-10-31"
"2705769","Cream cheese, fat free","2024-10-31"
"2705770","Cheese, processed cheese food","2024-10-31"
"2705771","Cheese, processed, with vegetables","2024-10-31"
"2705772","Cheese,  with wine","2024-10-31"
"2705773","Cheese spread, American or Cheddar cheese base","2024-10-31"
"2705774","Cheese spread, Swiss cheese base","2024-10-31"
"2705775","Cheese spread, cream cheese","2024-10-31"
"2705776","Cheese spread, pressurized can","2024-10-31"
"2705777","Imitation cheese","2024-10-31"
"2705778","Cheese, cottage cheese, with gelatin dessert","2024-10-31"
"2705779","Cheese, cottage cheese, with gelatin dessert and fruit","2024-10-31"
"2705780","Cheese, cottage cheese, with gelatin dessert and vegetables","2024-10-31"
"2705781","Cheese ball","2024-10-31"
"2705782","Artichoke dip","2024-10-31"
"2705783","Spinach and artichoke dip","2024-10-31"
"2705784","Seafood dip","2024-10-31"
"2705785","Cheese dip with chili pepper","2024-10-31"
"2705786","Cheese dip","2024-10-31"
"2705787","Topping from cheese pizza","2024-10-31"
"2705788","Topping from vegetable pizza","2024-10-31"
"2705789","Topping from meat pizza","2024-10-31"
"2705790","Topping from meat and vegetable pizza","2024-10-31"
"2705791","Cheese fondue","2024-10-31"
"2705792","Cheese souffle","2024-10-31"
"2705793","Welsh rarebit","2024-10-31"
"2705794","Cheese sandwich, NFS","2024-10-31"
"2705795","Cheese sandwich, American cheese, on white bread","2024-10-31"
"2705796","Cheese sandwich, American cheese, on wheat bread","2024-10-31"
"2705797","Cheese sandwich, cheddar cheese, on white bread","2024-10-31"
"2705798","Cheese sandwich, cheddar cheese, on wheat bread","2024-10-31"
"2705799","Cheese sandwich, reduced fat cheese, on white bread","2024-10-31"
"2705800","Cheese sandwich, reduced fat cheese, on wheat bread","2024-10-31"
"2705801","Grilled cheese sandwich, NFS","2024-10-31"
"2705802","Grilled cheese sandwich, American cheese, on white bread","2024-10-31"
"2705803","Grilled cheese sandwich, American cheese, on wheat bread","2024-10-31"
"2705804","Grilled cheese sandwich, cheddar cheese, on white bread","2024-10-31"
"2705805","Grilled cheese sandwich, cheddar cheese, on wheat bread","2024-10-31"
"2705806","Grilled cheese sandwich, reduced fat cheese, on white bread","2024-10-31"
"2705807","Grilled cheese sandwich, reduced fat cheese, on wheat bread","2024-10-31"
"2705808","Cheese sauce","2024-10-31"
"2705809","Alfredo sauce","2024-10-31"
"2705810","Alfredo sauce with added vegetables","2024-10-31"
"2705811","Alfredo sauce with meat","2024-10-31"
"2705812","Alfredo sauce with meat and added vegetables","2024-10-31"
"2705813","Alfredo sauce with poultry","2024-10-31"
"2705814","Alfredo sauce with poultry and added vegetables","2024-10-31"
"2705815","Alfredo sauce with seafood","2024-10-31"
"2705816","Alfredo sauce with seafood and added vegetables","2024-10-31"
"2705817","Mozzarella sticks, breaded, baked, or fried","2024-10-31"
"2705818","Mozzarella cheese, tomato, and basil, with oil and vinegar dressing","2024-10-31"
"2705819","Meat, NFS","2024-10-31"
"2705820","Meat, ground, NFS","2024-10-31"
"2705821","Baby Toddler meat, NFS","2024-10-31"
"2705822","Beef, NFS","2024-10-31"
"2705823","Steak, NS as to type of meat, NS as to fat eaten","2024-10-31"
"2705824","Beef, steak, NFS","2024-10-31"
"2705825","Beef, steak, chuck","2024-10-31"
"2705826","Beef, steak, cube","2024-10-31"
"2705827","Beef, steak, flank","2024-10-31"
"2705828","Beef, steak, ribeye, NS as to fat eaten","2024-10-31"
"2705829","Beef, steak, ribeye, lean and fat eaten","2024-10-31"
"2705830","Beef, steak, ribeye, lean only eaten","2024-10-31"
"2705831","Beef, steak, round","2024-10-31"
"2705832","Beef, steak, sirloin, NS as to fat eaten","2024-10-31"
"2705833","Beef, steak, sirloin, lean and fat eaten","2024-10-31"
"2705834","Beef, steak, sirloin, lean only eaten","2024-10-31"
"2705835","Beef, steak, strip, NS as to fat eaten","2024-10-31"
"2705836","Beef, steak, strip, lean and fat eaten","2024-10-31"
"2705837","Beef, steak, strip, lean only eaten","2024-10-31"
"2705838","Beef, steak, T-bone, NS as to fat eaten","2024-10-31"
"2705839","Beef, steak, T-bone,  lean and fat eaten","2024-10-31"
"2705840","Beef, steak, T-bone, lean only eaten","2024-10-31"
"2705841","Beef, steak, tenderloin","2024-10-31"
"2705842","Beef, steak, country fried","2024-10-31"
"2705843","Beef, oxtails","2024-10-31"
"2705844","Beef, neck bones","2024-10-31"
"2705845","Beef, shortribs","2024-10-31"
"2705846","Beef, cow head","2024-10-31"
"2705847","Beef, roast","2024-10-31"
"2705848","Beef, pot roast","2024-10-31"
"2705849","Beef, stew meat","2024-10-31"
"2705850","Beef, corned","2024-10-31"
"2705851","Beef, brisket","2024-10-31"
"2705852","Beef, sandwich steak","2024-10-31"
"2705853","Beef, ground, raw","2024-10-31"
"2705854","Beef, ground","2024-10-31"
"2705855","Beef, ground, patty","2024-10-31"
"2705856","Beef, bacon, cooked","2024-10-31"
