"fdc_id","data_type","description","food_category_id","publication_date"
"2705449","survey_fndds_food","Vegetable dip, yogurt based","8412","2022-10-28"
"2705450","survey_fndds_food","Yogurt parfait, with fruit","1820","2022-10-28"
"2705451","survey_fndds_food","Frozen yogurt, NFS","5802","2022-10-28"
"2705452","survey_fndds_food","Frozen yogurt, vanilla","5802","2022-10-28"
"2705453","survey_fndds_food","Frozen yogurt, chocolate","5802","2022-10-28"
"2705454","survey_fndds_food","Frozen yogurt, soft serve, vanilla","5802","2022-10-28"
"2705455","survey_fndds_food","Frozen yogurt, soft serve, chocolate","5802","2022-10-28"
"2705456","survey_fndds_food","Frozen yogurt sandwich","5802","2022-10-28"
"2705457","survey_fndds_food","Frozen yogurt bar, vanilla","5802","2022-10-28"
"2705458","survey_fndds_food","Frozen yogurt bar, chocolate","5802","2022-10-28"
"2705459","survey_fndds_food","Frozen yogurt cone, chocolate","5802","2022-10-28"
"2705460","survey_fndds_food","Frozen yogurt cone, vanilla","5802","2022-10-28"
"2705461","survey_fndds_food","Frozen yogurt cone, vanilla, waffle cone","5802","2022-10-28"
"2705462","survey_fndds_food","Frozen yogurt cone, chocolate, waffle cone","5802","2022-10-28"
"2705463","survey_fndds_food","Baby Toddler food, NFS","9007","2022-10-28"
"2705464","survey_fndds_food","Baby Toddler yogurt, plain","9010","2022-10-28"
"2705465","survey_fndds_food","Baby Toddler yogurt, with fruit","9010","2022-10-28"
"2705466","survey_fndds_food","Chocolate milk, NFS","1206","2022-10-28"
"2705467","survey_fndds_food","Chocolate milk, whole","1202","2022-10-28"
"2705468","survey_fndds_food","Chocolate milk, reduced fat (2%)","1204","2022-10-28"
"2705469","survey_fndds_food","Chocolate milk, fat free (skim)","1208","2022-10-28"
"2705470","survey_fndds_food","Chocolate milk, low fat (1%)","1206","2022-10-28"
"2705471","survey_fndds_food","Chocolate milk, reduced sugar, NFS","1206","2022-10-28"
"2705472","survey_fndds_food","Hot chocolate / cocoa, NFS","1206","2022-10-28"
"2705473","survey_fndds_food","Hot chocolate / cocoa, made with whole or reduced fat (2%) milk","1204","2022-10-28"
"2705474","survey_fndds_food","Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk","1208","2022-10-28"
"2705475","survey_fndds_food","Hot chocolate / cocoa, made with non-dairy milk","1902","2022-10-28"
"2705476","survey_fndds_food","Hot chocolate / cocoa, with whipped cream","1204","2022-10-28"
"2705477","survey_fndds_food","Chocolate milk, Nesquik, NS as to type of milk","1204","2022-10-28"
"2705478","survey_fndds_food","Chocolate milk, Nesquik, made with non-dairy milk","1902","2022-10-28"
"2705479","survey_fndds_food","Chocolate milk, reduced sugar, whole","1202","2022-10-28"
"2705480","survey_fndds_food","Chocolate milk, reduced sugar, reduced fat (2%)","1204","2022-10-28"
"2705481","survey_fndds_food","Chocolate milk, reduced sugar, low fat (1%)","1206","2022-10-28"
"2705482","survey_fndds_food","Chocolate milk, reduced sugar, fat free (skim)","1208","2022-10-28"
"2705483","survey_fndds_food","Hot chocolate / cocoa, dry mix, made with water","1208","2022-10-28"
"2705484","survey_fndds_food","Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk","1204","2022-10-28"
"2705485","survey_fndds_food","Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk","1208","2022-10-28"
"2705486","survey_fndds_food","Hot chocolate / cocoa, dry mix , made with non-dairy milk","1902","2022-10-28"
"2705487","survey_fndds_food","Hot chocolate / cocoa, dry mix, made with water, with whipped cream","1204","2022-10-28"
"2705488","survey_fndds_food","Hot chocolate / cocoa, dry mix, reduced sugar, made with water","1208","2022-10-28"
"2705489","survey_fndds_food","Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk","1204","2022-10-28"
"2705490","survey_fndds_food","Hot chocolate / cocoa, reduced sugar, made with non-dairy milk","1902","2022-10-28"
"2705491","survey_fndds_food","Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk","1204","2022-10-28"
"2705492","survey_fndds_food","Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk","1208","2022-10-28"
"2705493","survey_fndds_food","Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk","1208","2022-10-28"
"2705494","survey_fndds_food","Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk","1902","2022-10-28"
"2705495","survey_fndds_food","Strawberry milk, NFS","1204","2022-10-28"
"2705496","survey_fndds_food","Strawberry milk, whole","1202","2022-10-28"
"2705497","survey_fndds_food","Strawberry milk, reduced fat (2%)","1204","2022-10-28"
"2705498","survey_fndds_food","Strawberry milk, low fat (1%)","1206","2022-10-28"
"2705499","survey_fndds_food","Strawberry milk, fat free  (skim)","1208","2022-10-28"
"2705500","survey_fndds_food","Strawberry milk, reduced sugar","1206","2022-10-28"
"2705501","survey_fndds_food","Milk, malted","1204","2022-10-28"
"2705502","survey_fndds_food","Eggnog","1402","2022-10-28"
"2705503","survey_fndds_food","Milk shake, home recipe, chocolate","1402","2022-10-28"
"2705504","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate","1402","2022-10-28"
"2705505","survey_fndds_food","Milk shake, home recipe, chocolate, light","1402","2022-10-28"
"2705506","survey_fndds_food","Milk shake, home recipe, flavors other than chocolate, light","1402","2022-10-28"
"2705507","survey_fndds_food","Milk shake with malt","1402","2022-10-28"
"2705508","survey_fndds_food","Milk shake, fast food, chocolate","1402","2022-10-28"
"2705509","survey_fndds_food","Milk shake, fast food, flavors other than chocolate","1402","2022-10-28"
"2705510","survey_fndds_food","Milk shake, bottled, chocolate","1402","2022-10-28"
"2705511","survey_fndds_food","Milk shake, bottled, flavors other than chocolate","1402","2022-10-28"
"2705512","survey_fndds_food","Licuado or Batido","7220","2022-10-28"
"2705513","survey_fndds_food","Fruit smoothie, NFS","7220","2022-10-28"
"2705514","survey_fndds_food","Fruit smoothie, with whole fruit and dairy","7220","2022-10-28"
"2705515","survey_fndds_food","Fruit smoothie, with whole fruit and dairy, added protein","7220","2022-10-28"
"2705516","survey_fndds_food","Fruit smoothie juice drink, with dairy","7220","2022-10-28"
"2705517","survey_fndds_food","Chocolate milk drink","1402","2022-10-28"
"2705518","survey_fndds_food","Infant formula, NFS","9404","2022-10-28"
"2705519","survey_fndds_food","Infant formula, Similac, NFS","9404","2022-10-28"
"2705520","survey_fndds_food","Infant formula, Similac Alimentum, ready-to-feed","9402","2022-10-28"
"2705521","survey_fndds_food","Infant formula, Similac Alimentum, powder, made with water","9404","2022-10-28"
"2705522","survey_fndds_food","Infant formula, Similac Advance, ready-to-feed","9402","2022-10-28"
"2705523","survey_fndds_food","Infant formula, Similac Advance, powder, made with tap water","9404","2022-10-28"
"2705524","survey_fndds_food","Infant formula, Similac Advance, powder, made with bottled water","9404","2022-10-28"
"2705525","survey_fndds_food","Infant formula, Similac Advance, powder, made with baby water","9404","2022-10-28"
"2705526","survey_fndds_food","Infant formula, Similac Sensitive, ready-to-feed","9402","2022-10-28"
"2705527","survey_fndds_food","Infant formula, Similac Sensitive, powder, made with tap water","9404","2022-10-28"
"2705528","survey_fndds_food","Infant formula, Similac Sensitive, powder, made with bottled water","9404","2022-10-28"
"2705529","survey_fndds_food","Infant formula, Similac Sensitive, powder, made with baby water","9404","2022-10-28"
"2705530","survey_fndds_food","Infant formula, Similac for Spit-Up, ready-to-feed","9402","2022-10-28"
"2705531","survey_fndds_food","Infant formula, Similac for Spit-Up, powder, made with water","9404","2022-10-28"
"2705532","survey_fndds_food","Toddler formula, Similac Go and Grow","9404","2022-10-28"
"2705533","survey_fndds_food","Infant formula, Enfamil, NFS","9404","2022-10-28"
"2705534","survey_fndds_food","Infant formula, Enfamil Infant, ready-to-feed","9402","2022-10-28"
"2705535","survey_fndds_food","Infant formula, Enfamil Infant, powder, made with tap water","9404","2022-10-28"
"2705536","survey_fndds_food","Infant formula, Enfamil Infant, powder, made with bottled water","9404","2022-10-28"
"2705537","survey_fndds_food","Infant formula, Enfamil Infant, powder, made with baby water","9404","2022-10-28"
"2705538","survey_fndds_food","Infant formula, Enfamil AR, ready-to-feed","9402","2022-10-28"
"2705539","survey_fndds_food","Infant formula, Enfamil AR, powder, made with water","9404","2022-10-28"
"2705540","survey_fndds_food","Infant formula, Enfamil Gentlease, ready-to-feed","9402","2022-10-28"
"2705541","survey_fndds_food","Infant formula, Enfamil Gentlease, powder, made with tap water","9404","2022-10-28"
"2705542","survey_fndds_food","Infant formula, Enfamil Gentlease, powder, made with bottled water","9404","2022-10-28"
"2705543","survey_fndds_food","Infant formula, Enfamil Gentlease, powder, made with baby water","9404","2022-10-28"
"2705544","survey_fndds_food","Toddler formula, Enfamil Enfagrow","9404","2022-10-28"
"2705545","survey_fndds_food","Toddler formula, PediaSure","9402","2022-10-28"
"2705546","survey_fndds_food","Toddler formula, Nido Kinder","9404","2022-10-28"
"2705547","survey_fndds_food","Toddler formula, store brand, beginning or next stage","9404","2022-10-28"
"2705548","survey_fndds_food","Toddler formula, store brand, pediatric shake","9404","2022-10-28"
"2705549","survey_fndds_food","Infant formula, Gerber, NFS","9404","2022-10-28"
"2705550","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","9402","2022-10-28"
"2705551","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","9404","2022-10-28"
"2705552","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","9404","2022-10-28"
"2705553","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water","9404","2022-10-28"
"2705554","survey_fndds_food","Infant formula, Gerber Good Start Gentle, Stage 2","9404","2022-10-28"
"2705555","survey_fndds_food","Toddler formula, Gerber Good Start, Stage 3","9404","2022-10-28"
"2705556","survey_fndds_food","Infant formula, premature, powder, made with water","9404","2022-10-28"
"2705557","survey_fndds_food","Infant formula, premature, ready-to-feed","9402","2022-10-28"
"2705558","survey_fndds_food","Infant formula, organic, powder, made with water","9404","2022-10-28"
"2705559","survey_fndds_food","Infant formula, organic, ready-to-feed","9402","2022-10-28"
"2705560","survey_fndds_food","Infant formula, store brand, advantage or tender, powder, made with tap water","9404","2022-10-28"
"2705561","survey_fndds_food","Infant formula, store brand, advantage or tender, powder, made with bottled water","9404","2022-10-28"
"2705562","survey_fndds_food","Infant formula, store brand, advantage or tender, powder, made with baby water","9404","2022-10-28"
"2705563","survey_fndds_food","Infant formula, store brand, gentle or sensitivity","9404","2022-10-28"
"2705564","survey_fndds_food","Infant formula, store brand, added rice","9404","2022-10-28"
"2705565","survey_fndds_food","Infant formula, Enfamil ProSobee, ready-to-feed","9402","2022-10-28"
"2705566","survey_fndds_food","Infant formula, Enfamil ProSobee, powder, made with tap water","9404","2022-10-28"
"2705567","survey_fndds_food","Infant formula, Enfamil ProSobee, powder, made with bottled water","9404","2022-10-28"
"2705568","survey_fndds_food","Infant formula, Enfamil ProSobee, powder, made with baby water","9404","2022-10-28"
"2705569","survey_fndds_food","Infant formula, Similac Isomil Soy, ready-to-feed","9402","2022-10-28"
"2705570","survey_fndds_food","Infant formula, Similac Isomil Soy, powder, made with tap water","9404","2022-10-28"
"2705571","survey_fndds_food","Infant formula, Similac Isomil Soy, powder, made with bottled water","9404","2022-10-28"
"2705572","survey_fndds_food","Infant formula, Similac Isomil Soy, powder, made with baby water","9404","2022-10-28"
"2705573","survey_fndds_food","Infant formula, Similac for Diarrhea","9402","2022-10-28"
"2705574","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed","9402","2022-10-28"
"2705575","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water","9404","2022-10-28"
"2705576","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water","9404","2022-10-28"
"2705577","survey_fndds_food","Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water","9404","2022-10-28"
"2705578","survey_fndds_food","Infant formula, store brand, soy","9404","2022-10-28"
"2705579","survey_fndds_food","Infant formula, Enfamil Nutramigen, ready-to-feed","9402","2022-10-28"
"2705580","survey_fndds_food","Infant formula, Enfamil Nutramigen, powder, made with water","9404","2022-10-28"
"2705581","survey_fndds_food","Infant formula, Enfamil Pregestimil, ready-to-feed","9402","2022-10-28"
"2705582","survey_fndds_food","Infant formula, Enfamil Pregestimil, powder, made with water","9404","2022-10-28"
"2705583","survey_fndds_food","Infant formula, amino acids","9404","2022-10-28"
"2705584","survey_fndds_food","Infant formula, low iron","9404","2022-10-28"
"2705585","survey_fndds_food","Milk, dry, not reconstituted","9999","2022-10-28"
"2705586","survey_fndds_food","Whey, sweet, dry","9999","2022-10-28"
"2705587","survey_fndds_food","Cocoa powder, not reconstituted","9999","2022-10-28"
"2705588","survey_fndds_food","Chocolate beverage powder, dry mix, not reconstituted","9999","2022-10-28"
"2705589","survey_fndds_food","Chocolate beverage powder, light, dry mix, not reconstituted","9999","2022-10-28"
"2705590","survey_fndds_food","Milk, malted, dry mix, not reconstituted","9999","2022-10-28"
"2705591","survey_fndds_food","Strawberry beverage powder, dry mix, not reconstituted","9999","2022-10-28"
"2705592","survey_fndds_food","Cream, NS as to light, heavy, or half and half","8008","2022-10-28"
"2705593","survey_fndds_food","Cream, light","8008","2022-10-28"
"2705594","survey_fndds_food","Cream, half and half","8008","2022-10-28"
"2705595","survey_fndds_food","Cream, half and half, flavored","8008","2022-10-28"
"2705596","survey_fndds_food","Cream, half and half, fat free","8008","2022-10-28"
"2705597","survey_fndds_food","Cream, heavy","8008","2022-10-28"
"2705598","survey_fndds_food","Cream, whipped","8006","2022-10-28"
"2705599","survey_fndds_food","Coffee creamer, NFS","8008","2022-10-28"
"2705600","survey_fndds_food","Coffee creamer, liquid","8008","2022-10-28"
"2705601","survey_fndds_food","Coffee creamer, liquid, flavored","8008","2022-10-28"
"2705602","survey_fndds_food","Coffee creamer, liquid, fat free","8008","2022-10-28"
"2705603","survey_fndds_food","Coffee creamer, liquid, fat free, flavored","8008","2022-10-28"
"2705604","survey_fndds_food","Coffee creamer, liquid, fat free, sugar free, flavored","8008","2022-10-28"
"2705605","survey_fndds_food","Coffee creamer, liquid, sugar free, flavored","8008","2022-10-28"
"2705606","survey_fndds_food","Coffee creamer, powder","8008","2022-10-28"
"2705607","survey_fndds_food","Coffee creamer, powder, flavored","8008","2022-10-28"
"2705608","survey_fndds_food","Coffee creamer, powder, fat free","8008","2022-10-28"
"2705609","survey_fndds_food","Coffee creamer,powder, sugar free, flavored","8008","2022-10-28"
"2705610","survey_fndds_food","Coffee creamer, soy, liquid","8008","2022-10-28"
"2705611","survey_fndds_food","Whipped topping","8006","2022-10-28"
"2705612","survey_fndds_food","Whipped topping, fat free","8006","2022-10-28"
"2705613","survey_fndds_food","Whipped topping, sugar free","8006","2022-10-28"
"2705614","survey_fndds_food","Sour cream, regular","8006","2022-10-28"
"2705615","survey_fndds_food","Sour cream, light","8006","2022-10-28"
"2705616","survey_fndds_food","Sour cream, fat free","8006","2022-10-28"
"2705617","survey_fndds_food","Sour cream, imitation","8006","2022-10-28"
"2705618","survey_fndds_food","Dip, NFS","8412","2022-10-28"
"2705619","survey_fndds_food","Chipotle dip, regular","8412","2022-10-28"
"2705620","survey_fndds_food","Chipotle dip, light","8412","2022-10-28"
"2705621","survey_fndds_food","Onion dip, regular","8412","2022-10-28"
"2705622","survey_fndds_food","Onion dip, light","8412","2022-10-28"
"2705623","survey_fndds_food","Ranch dip, regular","8412","2022-10-28"
"2705624","survey_fndds_food","Ranch dip, light","8412","2022-10-28"
"2705625","survey_fndds_food","Spinach dip, regular","8412","2022-10-28"
"2705626","survey_fndds_food","Spinach dip, light","8412","2022-10-28"
"2705627","survey_fndds_food","Vegetable dip, regular","8412","2022-10-28"
"2705628","survey_fndds_food","Vegetable dip, light","8412","2022-10-28"
"2705629","survey_fndds_food","Ice cream, NFS","5802","2022-10-28"
"2705630","survey_fndds_food","Ice cream, vanilla","5802","2022-10-28"
"2705631","survey_fndds_food","Ice cream, vanilla, with additional ingredients","5802","2022-10-28"
"2705632","survey_fndds_food","Ice cream, chocolate","5802","2022-10-28"
"2705633","survey_fndds_food","Ice cream, chocolate, with additional ingredients","5802","2022-10-28"
"2705634","survey_fndds_food","Ice cream, soft serve, vanilla","5802","2022-10-28"
"2705635","survey_fndds_food","Ice cream, soft serve, chocolate","5802","2022-10-28"
"2705636","survey_fndds_food","Gelato, vanilla","5802","2022-10-28"
"2705637","survey_fndds_food","Gelato, chocolate","5802","2022-10-28"
"2705638","survey_fndds_food","Ice cream bar, vanilla","5802","2022-10-28"
"2705639","survey_fndds_food","Ice cream bar, vanilla, chocolate coated","5802","2022-10-28"
"2705640","survey_fndds_food","Ice cream candy bar","5802","2022-10-28"
"2705641","survey_fndds_food","Ice cream bar, chocolate","5802","2022-10-28"
"2705642","survey_fndds_food","Ice cream sandwich, vanilla","5802","2022-10-28"
"2705643","survey_fndds_food","Ice cream sandwich, chocolate","5802","2022-10-28"
"2705644","survey_fndds_food","Ice cream cookie sandwich","5802","2022-10-28"
"2705645","survey_fndds_food","Ice cream cone, scooped, vanilla","5802","2022-10-28"
"2705646","survey_fndds_food","Ice cream cone, scooped, vanilla, waffle cone","5802","2022-10-28"
"2705647","survey_fndds_food","Ice cream cone, NFS","5802","2022-10-28"
"2705648","survey_fndds_food","Ice cream cone, scooped, chocolate","5802","2022-10-28"
"2705649","survey_fndds_food","Ice cream cone, scooped, chocolate, waffle cone","5802","2022-10-28"
"2705650","survey_fndds_food","Ice cream cone, soft serve, vanilla","5802","2022-10-28"
"2705651","survey_fndds_food","Ice cream cone, soft serve, chocolate","5802","2022-10-28"
"2705652","survey_fndds_food","Ice cream cone, soft serve, vanilla, waffle cone","5802","2022-10-28"
"2705653","survey_fndds_food","Ice cream cone, soft serve, chocolate, waffle cone","5802","2022-10-28"
"2705654","survey_fndds_food","Ice cream cone, vanilla, prepackaged","5802","2022-10-28"
"2705655","survey_fndds_food","Ice cream cone, chocolate, prepackaged","5802","2022-10-28"
"2705656","survey_fndds_food","Ice cream soda, flavors other than chocolate","1402","2022-10-28"
"2705657","survey_fndds_food","Ice cream soda, chocolate","1402","2022-10-28"
"2705658","survey_fndds_food","Ice cream sundae, NFS","5802","2022-10-28"
"2705659","survey_fndds_food","Ice cream sundae, fruit topping","5802","2022-10-28"
"2705660","survey_fndds_food","Banana split","5802","2022-10-28"
"2705661","survey_fndds_food","Ice cream sundae, hot fudge topping","5802","2022-10-28"
"2705662","survey_fndds_food","Ice cream sundae, caramel topping","5802","2022-10-28"
"2705663","survey_fndds_food","Ice cream, fried","5802","2022-10-28"
"2705664","survey_fndds_food","Light ice cream, NFS","5802","2022-10-28"
"2705665","survey_fndds_food","Light ice cream, vanilla","5802","2022-10-28"
"2705666","survey_fndds_food","Light ice cream, chocolate","5802","2022-10-28"
"2705667","survey_fndds_food","Soft serve, blended with candy or cookies, from fast food","5802","2022-10-28"
"2705668","survey_fndds_food","Light ice cream sandwich, vanilla","5802","2022-10-28"
"2705669","survey_fndds_food","Light ice cream sandwich, chocolate","5802","2022-10-28"
"2705670","survey_fndds_food","Light ice cream bar, vanilla","5802","2022-10-28"
"2705671","survey_fndds_food","Light ice cream bar, vanilla, chocolate coated","5802","2022-10-28"
"2705672","survey_fndds_food","Light ice cream bar, chocolate","5802","2022-10-28"
"2705673","survey_fndds_food","Creamsicle","5802","2022-10-28"
"2705674","survey_fndds_food","Fudgesicle","5802","2022-10-28"
"2705675","survey_fndds_food","Light ice cream cone, vanilla, prepackaged","5802","2022-10-28"
"2705676","survey_fndds_food","Light ice cream cone, chocolate, prepackaged","5802","2022-10-28"
"2705677","survey_fndds_food","Sherbet, all flavors","5802","2022-10-28"
"2705678","survey_fndds_food","Fudgesicle, light","5802","2022-10-28"
"2705679","survey_fndds_food","Pudding, chocolate, NFS","5804","2022-10-28"
"2705680","survey_fndds_food","Pudding, bread","5804","2022-10-28"
"2705681","survey_fndds_food","Pudding, flavors other than chocolate, NFS","5804","2022-10-28"
"2705682","survey_fndds_food","Custard","5804","2022-10-28"
"2705683","survey_fndds_food","Flan","5804","2022-10-28"
"2705684","survey_fndds_food","Creme brulee","5804","2022-10-28"
"2705685","survey_fndds_food","Pudding, rice","5804","2022-10-28"
"2705686","survey_fndds_food","Firni, Indian pudding","5804","2022-10-28"
"2705687","survey_fndds_food","Pudding, tapioca, made from dry mix","5804","2022-10-28"
"2705688","survey_fndds_food","Pudding, flavors other than chocolate, made from dry mix","5804","2022-10-28"
"2705689","survey_fndds_food","Pudding, chocolate, made from dry mix","5804","2022-10-28"
"2705690","survey_fndds_food","Pudding, flavors other than chocolate, made from dry mix, sugar free","5804","2022-10-28"
"2705691","survey_fndds_food","Pudding, chocolate, made from dry mix, sugar free","5804","2022-10-28"
"2705692","survey_fndds_food","Pudding, flavors other than chocolate, ready-to-eat","5804","2022-10-28"
"2705693","survey_fndds_food","Pudding, flavors other than chocolate, ready-to-eat, sugar free","5804","2022-10-28"
"2705694","survey_fndds_food","Pudding, chocolate, ready-to-eat","5804","2022-10-28"
"2705695","survey_fndds_food","Pudding, chocolate, ready-to-eat, sugar free","5804","2022-10-28"
"2705696","survey_fndds_food","Pudding, tapioca, ready-to-eat","5804","2022-10-28"
"2705697","survey_fndds_food","Banana pudding","5804","2022-10-28"
"2705698","survey_fndds_food","Mousse","5804","2022-10-28"
"2705699","survey_fndds_food","Dulce de leche","5804","2022-10-28"
"2705700","survey_fndds_food","Barfi or Burfi, Indian dessert","5804","2022-10-28"
"2705701","survey_fndds_food","Trifle","5804","2022-10-28"
"2705702","survey_fndds_food","Tiramisu","5502","2022-10-28"
"2705703","survey_fndds_food","White sauce or gravy","8412","2022-10-28"
"2705704","survey_fndds_food","Cheese, NFS","1602","2022-10-28"
"2705705","survey_fndds_food","Cheese, Blue or Roquefort","1602","2022-10-28"
"2705706","survey_fndds_food","Cheese, Brick","1602","2022-10-28"
"2705707","survey_fndds_food","Cheese, Camembert","1602","2022-10-28"
"2705708","survey_fndds_food","Cheese, Brie","1602","2022-10-28"
"2705709","survey_fndds_food","Cheese, Cheddar","1602","2022-10-28"
"2705710","survey_fndds_food","Cheese, Cheddar, reduced fat","1602","2022-10-28"
"2705711","survey_fndds_food","Cheese, Cheddar, nonfat or fat free","1602","2022-10-28"
"2705712","survey_fndds_food","Cheese, Colby","1602","2022-10-28"
