"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"3298344","2705398","","999","WWEIA Category description","Milk, whole"
"3298345","2705399","","999","WWEIA Category number","1002"
"3318839","2705399","","1002","","Moisture change: 0%"
"3298346","2705399","","999","WWEIA Category description","Milk, whole"
"3298347","2705400","","999","WWEIA Category number","1004"
"3298348","2705400","","999","WWEIA Category description","Milk, reduced fat"
"3318840","2705400","","1002","","Moisture change: 0%"
"3298349","2705401","","999","WWEIA Category number","1008"
"3318841","2705401","","1002","","Moisture change: 0%"
"3298350","2705401","","999","WWEIA Category description","Milk, nonfat"
"3318842","2705402","","1002","","Moisture change: 0%"
"3298352","2705402","","999","WWEIA Category description","Flavored milk, whole"
"3298351","2705402","","999","WWEIA Category number","1202"
"3309185","2705402","1","1001","","La Lechera"
"3318843","2705403","","1002","","Moisture change: 0%"
"3298354","2705403","","999","WWEIA Category description","Plant-based milk"
"3298353","2705403","","999","WWEIA Category number","1902"
"3298355","2705404","","999","WWEIA Category number","1902"
"3318844","2705404","","1002","","Moisture change: 0%"
"3309186","2705404","8","1001","","NS as to sweetened"
"3298356","2705404","","999","WWEIA Category description","Plant-based milk"
"3298358","2705405","","999","WWEIA Category description","Plant-based milk"
"3298357","2705405","","999","WWEIA Category number","1902"
"3309187","2705405","6","1001","","light"
"3318845","2705405","","1002","","Moisture change: 0%"
"3298360","2705406","","999","WWEIA Category description","Plant-based milk"
"3318846","2705406","","1002","","Moisture change: 0%"
"3298359","2705406","","999","WWEIA Category number","1902"
"3318847","2705407","","1002","","Moisture change: 0%"
"3298361","2705407","","999","WWEIA Category number","1902"
"3298362","2705407","","999","WWEIA Category description","Plant-based milk"
"3309188","2705407","7","1001","","cashew or other nut milk"
"3309189","2705408","6","1001","","cashew or other nut milk"
"3318848","2705408","","1002","","Moisture change: 0%"
"3298363","2705408","","999","WWEIA Category number","1902"
"3298364","2705408","","999","WWEIA Category description","Plant-based milk"
"3309190","2705409","7","1001","","cashew or other nut milk"
"3309191","2705409","8","1001","","light"
"3298366","2705409","","999","WWEIA Category description","Plant-based milk"
"3318849","2705409","","1002","","Moisture change: 0%"
"3298365","2705409","","999","WWEIA Category number","1902"
"3298367","2705410","","999","WWEIA Category number","1902"
"3298368","2705410","","999","WWEIA Category description","Plant-based milk"
"3309193","2705410","2","1001","","NS as to sweetened"
"3318850","2705410","","1002","","Moisture change: 0%"
"3309192","2705410","1","1001","","cashew or other nut milk"
"3318851","2705411","","1002","","Moisture change: 0%"
"3298369","2705411","","999","WWEIA Category number","1902"
"3298370","2705411","","999","WWEIA Category description","Plant-based milk"
"3298372","2705412","","999","WWEIA Category description","Plant-based milk"
"3298371","2705412","","999","WWEIA Category number","1902"
"3318852","2705412","","1002","","Moisture change: 0%"
"3298374","2705413","","999","WWEIA Category description","Plant-based milk"
"3298373","2705413","","999","WWEIA Category number","1902"
"3318853","2705413","","1002","","Moisture change: 0%"
"3298375","2705414","","999","WWEIA Category number","1820"
"3298376","2705414","","999","WWEIA Category description","Yogurt, regular"
"3318854","2705414","","1002","","Moisture change: 0%"
"3318855","2705415","","1002","","Moisture change: 0%"
"3298377","2705415","","999","WWEIA Category number","1822"
"3298378","2705415","","999","WWEIA Category description","Yogurt, Greek"
"3298379","2705416","","999","WWEIA Category number","1820"
"3318856","2705416","","1002","","Moisture change: 0%"
"3298380","2705416","","999","WWEIA Category description","Yogurt, regular"
"3318857","2705417","","1002","","Moisture change: 0%"
"3298381","2705417","","999","WWEIA Category number","1820"
"3298382","2705417","","999","WWEIA Category description","Yogurt, regular"
"3298384","2705418","","999","WWEIA Category description","Yogurt, regular"
"3318858","2705418","","1002","","Moisture change: 0%"
"3298383","2705418","","999","WWEIA Category number","1820"
"3318859","2705419","","1002","","Moisture change: 0%"
"3309196","2705419","3","1001","","99% fat free"
"3298385","2705419","","999","WWEIA Category number","1820"
"3309195","2705419","2","1001","","2% fat"
"3298386","2705419","","999","WWEIA Category description","Yogurt, regular"
"3309194","2705419","1","1001","","1% fat"
"3309198","2705420","2","1001","","fat free"
"3309197","2705420","1","1001","","0% fat"
"3298388","2705420","","999","WWEIA Category description","Yogurt, regular"
"3309199","2705420","3","1001","","light"
"3318860","2705420","","1002","","Moisture change: 0%"
"3298387","2705420","","999","WWEIA Category number","1820"
"3318861","2705421","","1002","","Moisture change: 0%"
"3298389","2705421","","999","WWEIA Category number","1822"
"3298390","2705421","","999","WWEIA Category description","Yogurt, Greek"
"3298391","2705422","","999","WWEIA Category number","1822"
"3298392","2705422","","999","WWEIA Category description","Yogurt, Greek"
"3318862","2705422","","1002","","Moisture change: 0%"
"3298394","2705423","","999","WWEIA Category description","Yogurt, Greek"
"3309200","2705423","1","1001","","2% fat"
"3309202","2705423","3","1001","","99% fat free"
"3309201","2705423","2","1001","","1% fat"
"3318863","2705423","","1002","","Moisture change: 0%"
"3298393","2705423","","999","WWEIA Category number","1822"
"3298395","2705424","","999","WWEIA Category number","1822"
"3298396","2705424","","999","WWEIA Category description","Yogurt, Greek"
"3309204","2705424","2","1001","","fat free"
"3309203","2705424","1","1001","","0% fat"
"3309205","2705424","3","1001","","light"
"3318864","2705424","","1002","","Moisture change: 0%"
"3298398","2705425","","999","WWEIA Category description","Yogurt, regular"
"3318865","2705425","","1002","","Moisture change: 0%"
"3298397","2705425","","999","WWEIA Category number","1820"
"3298400","2705426","","999","WWEIA Category description","Yogurt, regular"
"3318866","2705426","","1002","","Moisture change: 0%"
"3298399","2705426","","999","WWEIA Category number","1820"
"3298401","2705427","","999","WWEIA Category number","1820"
"3309208","2705427","12","1001","","99% fat free"
"3318867","2705427","","1002","","Moisture change: 0%"
"3309206","2705427","10","1001","","1% fat"
"3298402","2705427","","999","WWEIA Category description","Yogurt, regular"
"3309207","2705427","11","1001","","2% fat"
"3309210","2705428","2","1001","","fat free"
"3298403","2705428","","999","WWEIA Category number","1820"
"3309209","2705428","1","1001","","0% fat"
"3309211","2705428","3","1001","","light"
"3318868","2705428","","1002","","Moisture change: 0%"
"3298404","2705428","","999","WWEIA Category description","Yogurt, regular"
"3318869","2705429","","1002","","Moisture change: 0%"
"3298405","2705429","","999","WWEIA Category number","1822"
"3298406","2705429","","999","WWEIA Category description","Yogurt, Greek"
"3298408","2705430","","999","WWEIA Category description","Yogurt, Greek"
"3318870","2705430","","1002","","Moisture change: 0%"
"3298407","2705430","","999","WWEIA Category number","1822"
"3318871","2705431","","1002","","Moisture change: 0%"
"3309214","2705431","3","1001","","99% fat free"
"3298410","2705431","","999","WWEIA Category description","Yogurt, Greek"
"3309213","2705431","2","1001","","1% fat"
"3309212","2705431","1","1001","","2% fat"
"3298409","2705431","","999","WWEIA Category number","1822"
"3298412","2705432","","999","WWEIA Category description","Yogurt, Greek"
"3298411","2705432","","999","WWEIA Category number","1822"
"3309217","2705432","3","1001","","light"
"3309215","2705432","1","1001","","0% fat"
"3309216","2705432","2","1001","","fat free"
"3318872","2705432","","1002","","Moisture change: 0%"
"3318873","2705433","","1002","","Moisture change: 0%"
"3298413","2705433","","999","WWEIA Category number","1820"
"3298414","2705433","","999","WWEIA Category description","Yogurt, regular"
"3298415","2705434","","999","WWEIA Category number","1820"
"3318874","2705434","","1002","","Moisture change: 0%"
"3298416","2705434","","999","WWEIA Category description","Yogurt, regular"
"3298418","2705435","","999","WWEIA Category description","Yogurt, regular"
"3298417","2705435","","999","WWEIA Category number","1820"
"3309219","2705435","2","1001","","2% fat"
"3309220","2705435","3","1001","","99% fat free"
"3318875","2705435","","1002","","Moisture change: 0%"
"3309218","2705435","1","1001","","1% fat"
"3309222","2705436","2","1001","","fat free"
"3298420","2705436","","999","WWEIA Category description","Yogurt, regular"
"3318876","2705436","","1002","","Moisture change: 0%"
"3309223","2705436","3","1001","","light"
"3298419","2705436","","999","WWEIA Category number","1820"
"3309221","2705436","1","1001","","0% fat"
"3318877","2705437","","1002","","Moisture change: 0%"
"3298422","2705437","","999","WWEIA Category description","Yogurt, Greek"
"3298421","2705437","","999","WWEIA Category number","1822"
"3298423","2705438","","999","WWEIA Category number","1822"
"3298424","2705438","","999","WWEIA Category description","Yogurt, Greek"
"3318878","2705438","","1002","","Moisture change: 0%"
"3309226","2705439","3","1001","","99% fat free"
"3318879","2705439","","1002","","Moisture change: 0%"
"3309227","2705439","4","1001","","light"
"3309224","2705439","1","1001","","1% fat"
"3298425","2705439","","999","WWEIA Category number","1822"
"3309225","2705439","2","1001","","2% fat"
"3298426","2705439","","999","WWEIA Category description","Yogurt, Greek"
"3318880","2705440","","1002","","Moisture change: 0%"
"3298427","2705440","","999","WWEIA Category number","1822"
"3309230","2705440","3","1001","","light"
"3298428","2705440","","999","WWEIA Category description","Yogurt, Greek"
"3309228","2705440","1","1001","","0% fat"
"3309229","2705440","2","1001","","fat free"
"3298429","2705441","","999","WWEIA Category number","1822"
"3309231","2705441","1","1001","","all types"
"3309232","2705441","2","1001","","with granola"
"3298430","2705441","","999","WWEIA Category description","Yogurt, Greek"
"3318881","2705441","","1002","","Moisture change: 0%"
"3309233","2705442","2","1001","","all types"
"3298432","2705442","","999","WWEIA Category description","Yogurt, regular"
"3298431","2705442","","999","WWEIA Category number","1820"
"3318882","2705442","","1002","","Moisture change: 0%"
"3309235","2705443","2","1001","","Go-gurt"
"3309236","2705443","3","1001","","all types"
"3298433","2705443","","999","WWEIA Category number","1820"
"3309234","2705443","1","1001","","pouch"
"3298434","2705443","","999","WWEIA Category description","Yogurt, regular"
"3318883","2705443","","1002","","Moisture change: 0%"
"3309240","2705444","4","1001","","regular or light"
"3309237","2705444","1","1001","","jalapeno dip"
"3309239","2705444","3","1001","","greek yogurt based"
"3318884","2705444","","1002","","Moisture change: 0%"
"3309238","2705444","2","1001","","Southwest dip"
"3298436","2705444","","999","WWEIA Category description","Dips, gravies, other sauces"
"3298435","2705444","","999","WWEIA Category number","8412"
"3309244","2705445","4","1001","","greek yogurt based"
"3309243","2705445","3","1001","","green onion dip"
"3298438","2705445","","999","WWEIA Category description","Dips, gravies, other sauces"
"3309242","2705445","2","1001","","toasted onion dip"
"3298437","2705445","","999","WWEIA Category number","8412"
"3309241","2705445","1","1001","","French onion dip"
"3309245","2705445","5","1001","","regular or light"
"3318885","2705445","","1002","","Moisture change: 0%"
"3298440","2705446","","999","WWEIA Category description","Dips, gravies, other sauces"
"3298439","2705446","","999","WWEIA Category number","8412"
"3318886","2705446","","1002","","Moisture change: 0%"
"3309246","2705446","1","1001","","greek yogurt based"
"3309247","2705446","2","1001","","regular or light"
"3309249","2705447","2","1001","","regular or light"
"3298441","2705447","","999","WWEIA Category number","8412"
"3318887","2705447","","1002","","Moisture change: 0%"
"3298442","2705447","","999","WWEIA Category description","Dips, gravies, other sauces"
"3309248","2705447","1","1001","","greek yogurt based"
"3309250","2705448","1","1001","","Greek dip"
"3298443","2705448","","999","WWEIA Category number","8412"
"3298444","2705448","","999","WWEIA Category description","Dips, gravies, other sauces"
"3318888","2705448","","1002","","Moisture change: 0%"
"3318889","2705449","","1002","","Moisture change: 0%"
"3309251","2705449","1","1001","","greek yogurt based"
"3298445","2705449","","999","WWEIA Category number","8412"
"3309253","2705449","3","1001","","dill"
"3309252","2705449","2","1001","","regular or light"
"3298446","2705449","","999","WWEIA Category description","Dips, gravies, other sauces"
"3309254","2705450","2","1001","","with granola"
"3318890","2705450","","1002","","Moisture change: 0%"
"3298447","2705450","","999","WWEIA Category number","1820"
"3298448","2705450","","999","WWEIA Category description","Yogurt, regular"
"3298449","2705451","","999","WWEIA Category number","5802"
"3318891","2705451","","1002","","Moisture change: 0%"
"3298450","2705451","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3318892","2705452","","1002","","Moisture change: 0%"
"3309255","2705452","2","1001","","other flavors"
"3309258","2705452","5","1001","","scoop"
"3298451","2705452","","999","WWEIA Category number","5802"
"3298452","2705452","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3309256","2705452","3","1001","","swirl"
"3309257","2705452","4","1001","","in a cup"
"3309259","2705453","1","1001","","in a cup"
"3298454","2705453","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3298453","2705453","","999","WWEIA Category number","5802"
"3309260","2705453","2","1001","","scoop"
"3318893","2705453","","1002","","Moisture change: 0%"
"3309261","2705454","1","1001","","other flavors"
"3309264","2705454","4","1001","","in a cup"
"3309262","2705454","2","1001","","swirl"
"3298455","2705454","","999","WWEIA Category number","5802"
"3318894","2705454","","1002","","Moisture change: 0%"
"3298456","2705454","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3309263","2705454","3","1001","","NS as to flavor"
"3298457","2705455","","999","WWEIA Category number","5802"
"3318895","2705455","","1002","","Moisture change: 0%"
"3298458","2705455","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3309265","2705455","1","1001","","in a cup"
"3318896","2705456","","1002","","Moisture change: 0%"
"3298460","2705456","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3298459","2705456","","999","WWEIA Category number","5802"
"3309266","2705456","1","1001","","all flavors"
"3309267","2705456","2","1001","","prepackaged frozen yogurt cone"
"3298462","2705457","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3318897","2705457","","1002","","Moisture change: 0%"
"3298461","2705457","","999","WWEIA Category number","5802"
"3309270","2705457","3","1001","","other flavors"
"3309269","2705457","2","1001","","stick"
"3309268","2705457","1","1001","","frozen yogurt bar, NFS"
"3309271","2705457","4","1001","","swirl"
"3309272","2705457","5","1001","","with or without coating"
"3318898","2705458","","1002","","Moisture change: 0%"
"3309274","2705458","2","1001","","with or without coating"
"3298463","2705458","","999","WWEIA Category number","5802"
"3298464","2705458","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3309273","2705458","1","1001","","stick"
"3298465","2705459","","999","WWEIA Category number","5802"
"3298466","2705459","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3318899","2705459","","1002","","Moisture change: 0%"
"3309275","2705459","1","1001","","scooped or soft serve"
"3309277","2705460","2","1001","","swirl"
"3309276","2705460","1","1001","","other flavors"
"3318900","2705460","","1002","","Moisture change: 0%"
"3309278","2705460","3","1001","","scooped or soft serve"
"3298468","2705460","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3298467","2705460","","999","WWEIA Category number","5802"
"3309281","2705461","3","1001","","scooped or soft serve"
"3298469","2705461","","999","WWEIA Category number","5802"
"3318901","2705461","","1002","","Moisture change: 0%"
"3309280","2705461","2","1001","","swirl"
"3298470","2705461","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3309279","2705461","1","1001","","other flavors"
"3298471","2705462","","999","WWEIA Category number","5802"
"3318902","2705462","","1002","","Moisture change: 0%"
"3309282","2705462","1","1001","","scooped or soft serve"
"3298472","2705462","","999","WWEIA Category description","Ice cream and frozen dairy desserts"
"3298473","2705463","","999","WWEIA Category number","9007"
"3298474","2705463","","999","WWEIA Category description","Baby food: mixtures"
"3318903","2705463","","1002","","Moisture change: 0%"
"3298476","2705464","","999","WWEIA Category description","Baby food: yogurt"
"3318904","2705464","","1002","","Moisture change: 0%"
"3298475","2705464","","999","WWEIA Category number","9010"
"3298478","2705465","","999","WWEIA Category description","Baby food: yogurt"
"3309283","2705465","1","1001","","other flavors"
"3318905","2705465","","1002","","Moisture change: 0%"
"3298477","2705465","","999","WWEIA Category number","9010"
"3318906","2705466","","1002","","Moisture change: 0%"
"3298480","2705466","","999","WWEIA Category description","Flavored milk, lowfat"
"3298479","2705466","","999","WWEIA Category number","1206"
"3298482","2705467","","999","WWEIA Category description","Flavored milk, whole"
"3298481","2705467","","999","WWEIA Category number","1202"
"3318907","2705467","","1002","","Moisture change: 0%"
"3298484","2705468","","999","WWEIA Category description","Flavored milk, reduced fat"
"3298483","2705468","","999","WWEIA Category number","1204"
"3318908","2705468","","1002","","Moisture change: 0%"
"3318909","2705469","","1002","","Moisture change: 0%"
"3298486","2705469","","999","WWEIA Category description","Flavored milk, nonfat"
"3298485","2705469","","999","WWEIA Category number","1208"
"3298487","2705470","","999","WWEIA Category number","1206"
"3298488","2705470","","999","WWEIA Category description","Flavored milk, lowfat"
"3318910","2705470","","1002","","Moisture change: 0%"
"3298490","2705471","","999","WWEIA Category description","Flavored milk, lowfat"
"3318911","2705471","","1002","","Moisture change: 0%"
"3309284","2705471","3","1001","","sugar free"
"3298489","2705471","","999","WWEIA Category number","1206"
"3298492","2705472","","999","WWEIA Category description","Flavored milk, lowfat"
"3309285","2705472","1","1001","","NS as to form, sweetener or milk"
"3298491","2705472","","999","WWEIA Category number","1206"
"3318912","2705472","","1002","","Moisture change: 0%"
"3298493","2705473","","999","WWEIA Category number","1204"
"3298494","2705473","","999","WWEIA Category description","Flavored milk, reduced fat"
"3309286","2705473","2","1001","","NS as to milk"
"3318913","2705473","","1002","","Moisture change: 0%"
"3298495","2705474","","999","WWEIA Category number","1208"
"3318914","2705474","","1002","","Moisture change: 0%"
"3298496","2705474","","999","WWEIA Category description","Flavored milk, nonfat"
"3298498","2705475","","999","WWEIA Category description","Plant-based milk"
"3318915","2705475","","1002","","Moisture change: 0%"
"3309287","2705475","1","1001","","almond, coconut, rice, or soy milk"
"3298497","2705475","","999","WWEIA Category number","1902"
"3309288","2705476","8","1001","","with marshmallows"
"3298500","2705476","","999","WWEIA Category description","Flavored milk, reduced fat"
"3318916","2705476","","1002","","Moisture change: 0%"
"3298499","2705476","","999","WWEIA Category number","1204"
"3318917","2705477","","1002","","Moisture change: 0%"
"3298501","2705477","","999","WWEIA Category number","1204"
"3298502","2705477","","999","WWEIA Category description","Flavored milk, reduced fat"
"3309290","2705478","2","1001","","made with water"
"3309289","2705478","1","1001","","almond, coconut, rice, or soy milk"
"3298503","2705478","","999","WWEIA Category number","1902"
"3318918","2705478","","1002","","Moisture change: 0%"
"3298504","2705478","","999","WWEIA Category description","Plant-based milk"
"3309291","2705479","2","1001","","sugar free"
"3298505","2705479","","999","WWEIA Category number","1202"
"3318919","2705479","","1002","","Moisture change: 0%"
"3298506","2705479","","999","WWEIA Category description","Flavored milk, whole"
"3298508","2705480","","999","WWEIA Category description","Flavored milk, reduced fat"
"3309292","2705480","3","1001","","sugar free"
"3298507","2705480","","999","WWEIA Category number","1204"
"3318920","2705480","","1002","","Moisture change: 0%"
"3298510","2705481","","999","WWEIA Category description","Flavored milk, lowfat"
"3318921","2705481","","1002","","Moisture change: 0%"
"3298509","2705481","","999","WWEIA Category number","1206"
"3309293","2705481","3","1001","","sugar free"
"3318922","2705482","","1002","","Moisture change: 0%"
"3298512","2705482","","999","WWEIA Category description","Flavored milk, nonfat"
"3309294","2705482","4","1001","","sugar free"
"3298511","2705482","","999","WWEIA Category number","1208"
"3298514","2705483","","999","WWEIA Category description","Flavored milk, nonfat"
"3318923","2705483","","1002","","Moisture change: 0%"
"3298513","2705483","","999","WWEIA Category number","1208"
"3298515","2705484","","999","WWEIA Category number","1204"
"3298516","2705484","","999","WWEIA Category description","Flavored milk, reduced fat"
"3318924","2705484","","1002","","Moisture change: 0%"
"3298517","2705485","","999","WWEIA Category number","1208"
"3298518","2705485","","999","WWEIA Category description","Flavored milk, nonfat"
"3318925","2705485","","1002","","Moisture change: 0%"
"3309295","2705486","7","1001","","almond, coconut, rice, or soy milk"
"3318926","2705486","","1002","","Moisture change: 0%"
"3298520","2705486","","999","WWEIA Category description","Plant-based milk"
"3298519","2705486","","999","WWEIA Category number","1902"
"3309297","2705487","2","1001","","with marshmallows"
"3298521","2705487","","999","WWEIA Category number","1204"
"3298522","2705487","","999","WWEIA Category description","Flavored milk, reduced fat"
"3318927","2705487","","1002","","Moisture change: 0%"
"3309296","2705487","1","1001","","made with any milk"
"3318928","2705488","","1002","","Moisture change: 0%"
"3298524","2705488","","999","WWEIA Category description","Flavored milk, nonfat"
"3309298","2705488","6","1001","","sugar free"
"3298523","2705488","","999","WWEIA Category number","1208"
"3309299","2705489","6","1001","","sugar free"
"3298526","2705489","","999","WWEIA Category description","Flavored milk, reduced fat"
"3298525","2705489","","999","WWEIA Category number","1204"
"3318929","2705489","","1002","","Moisture change: 0%"
"3309300","2705490","1","1001","","sugar free"
"3298527","2705490","","999","WWEIA Category number","1902"
"3309301","2705490","2","1001","","almond, coconut, rice, or soy milk"
"3318930","2705490","","1002","","Moisture change: 0%"
"3298528","2705490","","999","WWEIA Category description","Plant-based milk"
"3318931","2705491","","1002","","Moisture change: 0%"
"3298529","2705491","","999","WWEIA Category number","1204"
"3298530","2705491","","999","WWEIA Category description","Flavored milk, reduced fat"
"3309303","2705491","9","1001","","NS as to milk"
"3309302","2705491","8","1001","","sugar free"
"3298531","2705492","","999","WWEIA Category number","1208"
"3318932","2705492","","1002","","Moisture change: 0%"
"3298532","2705492","","999","WWEIA Category description","Flavored milk, nonfat"
"3309304","2705492","8","1001","","sugar free"
"3298534","2705493","","999","WWEIA Category description","Flavored milk, nonfat"
"3309305","2705493","8","1001","","sugar free"
"3298533","2705493","","999","WWEIA Category number","1208"
"3318933","2705493","","1002","","Moisture change: 0%"
"3298535","2705494","","999","WWEIA Category number","1902"
"3298536","2705494","","999","WWEIA Category description","Plant-based milk"
"3318934","2705494","","1002","","Moisture change: 0%"
"3309307","2705494","8","1001","","sugar free"
"3309306","2705494","7","1001","","almond, coconut, rice, or soy milk"
"3298537","2705495","","999","WWEIA Category number","1204"
"3318935","2705495","","1002","","Moisture change: 0%"
"3309308","2705495","7","1001","","other flavors"
"3298538","2705495","","999","WWEIA Category description","Flavored milk, reduced fat"
"3298539","2705496","","999","WWEIA Category number","1202"
"3298540","2705496","","999","WWEIA Category description","Flavored milk, whole"
"3309309","2705496","4","1001","","other flavors"
"3318936","2705496","","1002","","Moisture change: 0%"
"3298542","2705497","","999","WWEIA Category description","Flavored milk, reduced fat"
"3318937","2705497","","1002","","Moisture change: 0%"
"3309310","2705497","9","1001","","other flavors"
"3298541","2705497","","999","WWEIA Category number","1204"
"3298544","2705498","","999","WWEIA Category description","Flavored milk, lowfat"
"3298543","2705498","","999","WWEIA Category number","1206"
"3318938","2705498","","1002","","Moisture change: 0%"
"3309311","2705498","9","1001","","other flavors"
"3298545","2705499","","999","WWEIA Category number","1208"
"3298546","2705499","","999","WWEIA Category description","Flavored milk, nonfat"
"3309312","2705499","8","1001","","other flavors"
"3318939","2705499","","1002","","Moisture change: 0%"
"3298547","2705500","","999","WWEIA Category number","1206"
"3309313","2705500","3","1001","","other flavors"
"3298548","2705500","","999","WWEIA Category description","Flavored milk, lowfat"
"3318940","2705500","","1002","","Moisture change: 0%"
"3309314","2705501","1","1001","","Ovaltine"
"3298549","2705501","","999","WWEIA Category number","1204"
"3318941","2705501","","1002","","Moisture change: 0%"
"3298550","2705501","","999","WWEIA Category description","Flavored milk, reduced fat"
"3309315","2705502","1","1001","","eggnog, NFS"
"3298551","2705502","","999","WWEIA Category number","1402"
"3298552","2705502","","999","WWEIA Category description","Milk shakes and other dairy drinks"
"3318942","2705502","","1002","","Moisture change: 0%"
"3309316","2705502","2","1001","","made with whole milk"
"3318943","2705503","","1002","","Moisture change: 0%"
"3309317","2705503","3","1001","","regular ice cream and/or whole or 2% reduced fat milk"
"3309319","2705503","5","1001","","frozen mix"
"3309318","2705503","4","1001","","restaurant or ice cream shop"
"3298553","2705503","","999","WWEIA Category number","1402"
"3298554","2705503","","999","WWEIA Category description","Milk shakes and other dairy drinks"
"3318944","2705504","","1002","","Moisture change: 0%"
"3309321","2705504","4","1001","","restaurant or ice cream shop"
"3309323","2705504","6","1001","","NS as to flavor"
"3309320","2705504","3","1001","","regular ice cream and/or whole or 2% reduced fat milk"
"3309322","2705504","5","1001","","frozen mix"
"3298556","2705504","","999","WWEIA Category description","Milk shakes and other dairy drinks"
"3298555","2705504","","999","WWEIA Category number","1402"
"3298558","2705505","","999","WWEIA Category description","Milk shakes and other dairy drinks"
"3309325","2705505","2","1001","","restaurant or ice cream shop"
"3318945","2705505","","1002","","Moisture change: 0%"
"3309324","2705505","1","1001","","reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk"
"3298557","2705505","","999","WWEIA Category number","1402"
"3298560","2705506","","999","WWEIA Category description","Milk shakes and other dairy drinks"
"3298559","2705506","","999","WWEIA Category number","1402"
"3318946","2705506","","1002","","Moisture change: 0%"
"3309328","2705506","3","1001","","NS as to flavor"
"3309326","2705506","1","1001","","reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk"
"3309327","2705506","2","1001","","restaurant or ice cream shop"
"3298561","2705507","","999","WWEIA Category number","1402"
"3309329","2705507","1","1001","","malted milk with ice cream"
"3318947","2705507","","1002","","Moisture change: 0%"
"3298562","2705507","","999","WWEIA Category description","Milk shakes and other dairy drinks"
"3309336","2705508","12","1001","","Dunkin Donuts"
"3309331","2705508","5","1001","","Dairy Queen"
"3318948","2705508","","1002","","Moisture change: 0%"
"3309338","2705508","14","1001","","from other place"
"3309332","2705508","8","1001","","McDonald's"
